response,spec,stratum,n,centred,r2_baseline,r2_candidate,dR2_cand_minus_base,p_cluster_opp_team_season,n_clusters,p_row_level_NAIVE,inflation_cluster_over_row,skill_base_vs_refA,skill_cand_vs_refA,skill_base_vs_refB,skill_cand_vs_refB,mae_base,mae_cand,mae_refA,d_skill_vs_refA,p_opponent_team_season,nclust_opponent_team_season,p_opponent_team_season_game,nclust_opponent_team_season_game,p_game,nclust_game,p_player_season,nclust_player_season
ppm_points_per_minute,SPEC_RA,all,11267,True,0.1584223582792662,0.15783896559876787,-0.0005833926804981411,0.1289742051589682,36,0.005598880223955209,1.8347330479648831,0.0012555090761190435,0.0008916869299178121,-0.00019544397897219845,-0.0005597946776305651,0.16978854429254012,0.1698503947789721,0.1700019833255636,-0.00036382214620123143,0.1289742051589682,36,0.0057988402319536095,1450,0.004599080183963208,728,0.007998400319936013,413
ppm_points_per_minute,SPEC_RA,on_stratum,5086,True,0.23568137546730283,0.23512542514816737,-0.0005559503191354678,0.2535492901419716,36,0.08038392321535692,1.5264083181728958,-0.0018549617001024643,-0.002220838114697088,-0.0014917348907985684,-0.0018574786553313682,0.15176170661680383,0.15181712983794104,0.1514807156908931,-0.0003658764145946236,0.2535492901419716,36,0.05158968206358728,1230,0.04019196160767846,625,0.08778244351129774,257
ppm_points_per_minute,SPEC_RA,off_stratum,6181,True,0.05474649893280448,0.05410762134123248,-0.000638877591572019,0.2563487302539492,36,0.03479304139172166,1.7626440020679484,0.0033484712911300285,0.002986031413542034,0.0006794525683720964,0.0003160420819090515,0.18462182311777786,0.18468896224217932,0.1852421009748006,-0.00036243987758799445,0.2563487302539492,36,0.04979004199160168,1447,0.041791641671665665,728,0.04439112177564487,413
ppm_points_per_minute,SPEC_ALL5_GLOBAL,all,9962,True,0.1659301669209743,0.1653099987145087,-0.0006201682064655068,0.2011597680463907,36,0.028794241151769647,1.6640189237138576,-0.002593598836446054,-0.003312117308316598,-0.0041750188018894185,-0.004894670613787566,0.16974859163342423,0.16987024361564732,0.1693094707869918,-0.000718518471870544,0.2011597680463907,36,0.028994201159768047,1216,0.02959408118376325,631,0.01979604079184163,410
ppm_points_per_minute,SPEC_ALL5_GLOBAL,on_stratum,4938,True,0.2362807231609272,0.23606199196669342,-0.0002187311942338725,0.7696460707858428,36,0.6464707058588283,1.561811776909279,-0.0019177124327076633,-0.0024312381566347074,-0.001495039204590487,-0.0020083482903916483,0.15137266820094467,0.15145025317429733,0.15108293457893268,-0.0005135257239270441,0.7696460707858428,36,0.6104779044191162,1188,0.6114777044591082,608,0.634873025394921,254
ppm_points_per_minute,SPEC_ALL5_GLOBAL,off_stratum,5024,True,0.037335555243124374,0.03636574775958734,-0.0009698074835370634,0.08598280343931214,36,0.01779644071185763,1.384393412625794,-0.003129678137020697,-0.004010786606755579,-0.006308280002291333,-0.007192180427130879,0.18780995905173314,0.1879749237110665,0.1872240081666486,-0.0008811084697348814,0.08598280343931214,36,0.027994401119776045,1213,0.022195560887822437,631,0.011197760447910418,370
ppm_points_per_minute,SPEC_ALL5_PERZONE,all,9962,True,0.1659301669209743,0.16545646138066872,-0.0004737055403055216,0.20795840831833634,36,0.04339132173565287,1.5742499475376037,-0.002593598836446054,-0.0027904597855892277,-0.0041750188018894185,-0.004372190265517828,0.16974859163342423,0.16978192205654227,0.1693094707869918,-0.00019686094914317387,0.20795840831833634,36,0.03579284143171366,1216,0.036192761447710456,631,0.04379124175164967,410
ppm_points_per_minute,SPEC_ALL5_PERZONE,on_stratum,4938,True,0.2362807231609272,0.23583651293217778,-0.000444210228749523,0.4279144171165767,36,0.21355728854229153,1.5979337073108393,-0.0019177124327076633,-0.002131735975703153,-0.001495039204590487,-0.0017089724587120436,0.15137266820094467,0.1514050035058894,0.15108293457893268,-0.00021402354299548954,0.4279144171165767,36,0.16956608678264348,1188,0.14637072585482905,608,0.22355528894221155,254
ppm_points_per_minute,SPEC_ALL5_PERZONE,off_stratum,5024,True,0.037335555243124374,0.03679642564032615,-0.000539129602798281,0.2563487302539492,36,0.12117576484703059,1.339572335861801,-0.003129678137020697,-0.003312926574863706,-0.006308280002291333,-0.006492109096692733,0.18780995905173314,0.1878442675587564,0.1872240081666486,-0.00018324843784300882,0.2563487302539492,36,0.130373925214957,1213,0.1261747650469906,631,0.12337532493501299,370
ppm_points_per_minute,SPEC_RA_UNCENTRED,all,11267,False,0.1584223582792662,0.1546641239322326,-0.0037582343470335044,0.07758448310337933,36,0.0009998000399920016,1.966554340221656,0.0012555090761190435,-0.0067321603316832235,-0.00019544397897219845,-0.008194717689412157,0.16978854429254012,0.17114646393401545,0.1700019833255636,-0.007987669407802267,0.07758448310337933,36,0.0009998000399920016,1450,0.0005998800239952009,728,0.0001999600079984003,413
ppm_points_per_minute,SPEC_RA_UNCENTRED,on_stratum,5086,False,0.23568137546730283,0.22644785576247672,-0.009233519704825981,0.008998200359928014,36,0.0001999600079984003,1.965251834523211,-0.0018549617001024643,-0.014296138253479418,-0.0014917348907985684,-0.01392840084230551,0.15176170661680383,0.1536463049451461,0.1514807156908931,-0.012441176553376954,0.008998200359928014,36,0.0001999600079984003,1230,0.0001999600079984003,625,0.0001999600079984003,257
ppm_points_per_minute,SPEC_RA_UNCENTRED,off_stratum,6181,False,0.05474649893280448,0.05417699267976828,-0.0005695062530362007,0.7986402719456108,36,0.6978604279144172,1.4585546779259349,0.0033484712911300285,-0.001642538494847745,0.0006794525683720964,-0.004324923071347575,0.18462182311777786,0.18554636825651818,0.1852421009748006,-0.0049910097859777736,0.7986402719456108,36,0.6966606678664267,1447,0.7014597080583883,728,0.6742651469706059,413
