spec,n,ppf_dR2_on_stratum,ppf_p,points_dR2_on_stratum,points_p_cluster
SPEC_ALL5_PERZONE_XSCENTRED,4431,0.0008169349225127781,0.30713857228554287,1.8540214871177612e-05,0.9658068386322736
SPEC_RA_XSCENTRED,4553,0.0007467528271249373,0.27714457108578283,-5.433312731586305e-05,0.8830233953209358
SPEC_ALL5_PERZONE,4938,0.0006914801651688702,0.39852029594081184,-0.000184566658510012,0.6906618676264747
SPEC_RA,5086,0.0006006723479530501,0.3967206558688262,-0.0002878210758616031,0.47630473905218956
