zone,n,mean_OC_uncentred,sd_OC_uncentred,mean_OCc_centred,sd_OCc_centred,mean_over_sd_uncentred,corr_OC_OCc
Restricted Area,1868,0.18354073317470226,0.04020717306518546,0.0020331639145006707,0.03908426821267547,4.564875348911966,0.9582067794242652
In The Paint (Non-RA),1846,-0.04451555317170572,0.03524991181331233,-2.5807961880166942e-06,0.034437867027609044,1.2628557315963034,0.9785763749088947
Mid-Range,1839,-0.0689092222995848,0.03592557564826679,-0.0009384085476589307,0.0353630035813236,1.9181104563013254,0.981740936901148
Corner 3,1510,-0.06805156399103661,0.06626011617288308,-0.0008378315530051355,0.061839647509626665,1.0270365933781245,0.9228446703558828
Above the Break 3,1868,-0.09449850627915699,0.02924677337055165,-0.00037341652239634244,0.028530051055604536,3.2310745900710813,0.9751155151420572
