game_date,home,away,game_id,tip_utc,decision_time_label,cutoff_utc,tip_moved,completed,n_base_records,n_arm_records,arm_models,n_duplicate_records,duplicate_record_idxs,classification,reason
2026-08-01,PHX,NYL,1022600217,2026-08-01T19:04:00+00:00,T-90m,2026-08-01T17:34:00+00:00,False,True,1,0,,0,,forecast_logged,
2026-08-01,PHX,NYL,1022600217,2026-08-01T19:04:00+00:00,T-30m,2026-08-01T18:34:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-01 at T-30m
2026-08-02,DAL,CON,1022600220,2026-08-02T23:04:00+00:00,T-24h,2026-08-01T23:04:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-24h
2026-08-02,DAL,CON,1022600220,2026-08-02T23:04:00+00:00,T-8h,2026-08-02T15:04:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-8h
2026-08-02,DAL,CON,1022600220,2026-08-02T23:04:00+00:00,T-90m,2026-08-02T21:34:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-90m
2026-08-02,DAL,CON,1022600220,2026-08-02T23:04:00+00:00,T-30m,2026-08-02T22:34:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-30m
2026-08-02,GSV,TOR,1022600221,2026-08-03T00:34:00+00:00,T-24h,2026-08-02T00:34:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-24h
2026-08-02,GSV,TOR,1022600221,2026-08-03T00:34:00+00:00,T-8h,2026-08-02T16:34:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-8h
2026-08-02,GSV,TOR,1022600221,2026-08-03T00:34:00+00:00,T-90m,2026-08-02T23:04:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-90m
2026-08-02,GSV,TOR,1022600221,2026-08-03T00:34:00+00:00,T-30m,2026-08-03T00:04:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-30m
2026-08-02,MIN,IND,1022600218,2026-08-02T17:00:00+00:00,T-24h,2026-08-01T17:00:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-24h
2026-08-02,MIN,IND,1022600218,2026-08-02T17:00:00+00:00,T-8h,2026-08-02T09:00:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-8h
2026-08-02,MIN,IND,1022600218,2026-08-02T17:00:00+00:00,T-90m,2026-08-02T15:30:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-90m
2026-08-02,MIN,IND,1022600218,2026-08-02T17:00:00+00:00,T-30m,2026-08-02T16:30:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-30m
2026-08-02,PDX,LAS,1022600219,2026-08-02T19:43:00+00:00,T-24h,2026-08-01T19:43:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-24h
2026-08-02,PDX,LAS,1022600219,2026-08-02T19:43:00+00:00,T-8h,2026-08-02T11:43:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-8h
2026-08-02,PDX,LAS,1022600219,2026-08-02T19:43:00+00:00,T-90m,2026-08-02T18:13:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-90m
2026-08-02,PDX,LAS,1022600219,2026-08-02T19:43:00+00:00,T-30m,2026-08-02T19:13:00+00:00,False,True,0,0,,0,,missing_job_did_not_run,no base record for ANY game on 2026-08-02 at T-30m
