protocol,axis,own_trait,channel,n_train,n_val,degenerate,note,nan_share_feature,nan_share_moderator,corr_fm,mae_noint_2024,mae_int_2024,delta_mae,improvement,beta_interaction,fold_deltas,fold_signs,p_value,null_q50,null_q95,q_value,bh_pass,survives
player_vs_archetype_v1,opp_3pa,fg3a_rate,fg3,8687,3261,False,,0.0,0.0,-0.0297,3.31468,3.30928,-0.0054,0.0054,0.09278,-0.00668;-0.00469;+0.00018,--+,0.04975,-4.2e-05,0.005008,0.43531250000000005,False,False
player_vs_archetype_v1,rim_protect,height_inches,paint,8687,3261,False,,0.0,0.0,0.0005,3.48026,3.47852,-0.00173,0.00173,-0.06725,+0.00223;+0.00270;+0.00112,+++,0.06965,-0.000109,0.001969,0.43531250000000005,False,False
player_vs_archetype_v1,pressure,transition_share,paint,8687,3261,False,,0.0,0.0,-0.0174,3.47573,3.47462,-0.00111,0.00111,0.06211,-0.00304;-0.00044;-0.00021,---,0.05473,-1e-06,0.000979,0.43531250000000005,False,False
player_vs_archetype_v1,pressure,transition_share,fg3,8687,3261,False,,0.0,0.0,-0.0174,3.37835,3.37742,-0.00093,0.00093,-0.06829,+0.00120;-0.00209;-0.00116,+--,0.04975,-2.3e-05,0.000879,0.43531250000000005,False,False
player_vs_archetype_v1,opp_3pa,rim_share,paint,8687,3261,False,,0.0,0.0,0.0227,3.47809,3.47706,-0.00104,0.00104,0.03997,+0.00581;+0.00060;-0.00025,++-,0.14428,-0.000162,0.002151,0.5508214285714286,False,False
player_vs_archetype_v1,pressure,rim_share,paint,8687,3261,False,,0.0,0.0,0.001,3.47415,3.47329,-0.00086,0.00086,0.1123,-0.00240;+0.00020;-0.00120,-+-,0.15423,-8.9e-05,0.002331,0.5508214285714286,False,False
player_vs_archetype_v1,rim_protect,transition_share,paint,8687,3261,False,,0.0,0.0,-0.0216,3.47416,3.47388,-0.00028,0.00028,0.01569,+0.00174;-0.00047;+0.00001,+-+,0.13433,-6.5e-05,0.000554,0.5508214285714286,False,False
player_vs_archetype_v1,pace,transition_share,fg3,8687,3261,False,,0.0,0.0,-0.0039,3.36955,3.36911,-0.00044,0.00044,0.06405,-0.00271;+0.00229;+0.00132,-++,0.24378,5.4e-05,0.001346,0.6771666666666667,False,False
player_vs_archetype_v1,rim_protect,transition_share,fg3,8687,3261,False,,0.0,0.0,-0.0216,3.37094,3.37077,-0.00017,0.00017,-0.00597,+0.00001;+0.00048;+0.00028,+++,0.22886,-3.2e-05,0.000738,0.6771666666666667,False,False
player_vs_archetype_v1,rim_protect,rim_share,paint,8687,3261,False,,0.0,0.0,0.0007,3.47212,3.47204,-9e-05,9e-05,-0.04754,+0.00040;+0.00124;-0.00080,++-,0.31841,-0.0001,0.001642,0.796025,False,False
player_vs_archetype_v1,pressure,fg3a_rate,fg3,8687,3261,False,,0.0,0.0,0.0174,3.3191,3.31873,-0.00037,0.00037,0.00796,-0.00387;+0.00028;-0.00015,-+-,0.49751,0.000252,0.005317,0.9950199999999999,False,False
player_vs_archetype_v1,pace,fg3a_rate,fg3,8687,3261,False,,0.0,0.0,0.0067,3.31027,3.31019,-8e-05,8e-05,-0.002,-0.00060;-0.00049;+0.00179,--+,0.51741,0.000184,0.004966,0.9950199999999999,False,False
player_vs_archetype_v1,rot_height,transition_share,paint,8687,3261,False,,0.0006,0.0,-0.0183,3.4779,3.47817,0.00027,-0.00027,-0.01615,+0.00026;-0.00003;-0.00010,+--,0.60199,-0.000156,0.000714,0.9950199999999999,False,False
player_vs_archetype_v1,opp_3pa,transition_share,fg3,8687,3261,False,,0.0,0.0,0.0381,3.37353,3.37398,0.00045,-0.00045,0.01144,+0.00060;+0.00115;-0.00003,++-,0.67662,-8.6e-05,0.000968,0.9950199999999999,False,False
