screen,file,n_keys,keys,name_says_standardised,empirically_standardised,sample_stats
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/best_simple_forecasts.npz,8,pts|minutes|fga|ppm|wf|tier|stratum|season,False,False,"[[""pts"", 8.821353173006829, 5.490901675823423], [""minutes"", 21.524147830684925, 9.320199245498738], [""fga"", 7.338036694781764, 4.308822644510252], [""ppm"", 0.3660400447356596, 0.12434368517563432], [""tier"", 3.559622451185244, 1.2797483254418545], [""season"", 2023.0293248793141, 0.810580333190911]]"
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/selected_cells.npz,12,pts_idx_A|pts_idx_B|pts_idx_insample|minutes_idx_A|minutes_idx_B|minutes_idx_insample|fga_idx_A|fga_idx_B|fga_idx_insample|ppm_idx_A|ppm_idx_B|ppm_idx_insample,False,False,[]
E1_I0022_optimal_simple_estimator,E1_I0022_optimal_simple_estimator/surface_sae.npz,8,sae|bn|bcode|champ|d081|targets|tier_names|seasons,False,False,"[[""sae"", 1523.238821497405, 1684.0955130978195], [""bn"", 385.52777777777777, 296.94214607779065], [""bcode"", 19.839109445925498, 10.212793696276108], [""champ"", 1165.2483683199434, 1246.1159399865385], [""d081"", 1182.8617142945493, 1290.108905646519]]"
E1_I0026_detection_floor,E1_I0026_detection_floor/out/s03_null_draws.npz,2,keys|draws,False,False,"[[""draws"", 0.0003065118794719876, 0.0005652581868592242]]"
E1_I0032_aggregate_stack,E1_I0032_aggregate_stack/permutation_draws.npz,24,REAL__pts__POOLED|PLACEBO__pts__POOLED|REAL__pts__DECISION|PLACEBO__pts__DECISION|REAL__pts__POOLED_EXCL_ROUTED__POSTHOC|PLACEBO__pts__POOLED_EXCL_ROUTED__POSTHOC|REAL__minutes__POOLED|PLACEBO__minutes__POOLED|REAL__minutes__DECISION|PLACEBO__minutes__DECISION|REAL__minutes__POOLED_EXCL_ROUTED__POSTHOC|PLACEBO__minutes__POOLED_EXCL_ROUTED__POSTHOC|REAL__fga__POOLED|PLACEBO__fga__POOLED|REAL__fga__DECISION|PLACEBO__fga__DECISION|REAL__fga__POOLED_EXCL_ROUTED__POSTHOC|PLACEBO__fga__POOLED_EXCL_ROUTED__POSTHOC|REAL__ppm__POOLED|PLACEBO__ppm__POOLED|REAL__ppm__DECISION|PLACEBO__ppm__DECISION|REAL__ppm__POOLED_EXCL_ROUTED__POSTHOC|PLACEBO__ppm__POOLED_EXCL_ROUTED__POSTHOC,False,False,"[[""REAL__pts__POOLED"", 3.0831135340083497e-07, 0.003915834273518923], [""PLACEBO__pts__POOLED"", 1.5808221124239929e-06, 0.00032964347261585706], [""REAL__pts__DECISION"", 2.2681743445967262e-05, 0.0016192310014909272], [""PLACEBO__pts__DECISION"", 6.203041880835329e-06, 0.0006701386647018795], [""REAL__pts__POOLED_EXCL_ROUTED__POSTHOC"", -8.679065082635466e-07, 0.000744016587102524], [""PLACEBO__pts__POOLED_EXCL_ROUTED__POSTHOC"", 1.7359476839180482e-06, 0.00036163631770239703]]"
E1_I0033_aggregation_level,E1_I0033_aggregation_level/nulls/absence_beta_draws.npz,1,draws,False,False,"[[""draws"", -0.029830661013516613, 0.043515225084020934]]"
E1_I0033_aggregation_level,E1_I0033_aggregation_level/nulls/permutation_draws_P01_P06.npz,6,P01_N1|P02_N1|P03_N1|P04_N1|P05_N1|P06_N1,False,False,"[[""P01_N1"", 0.013874616443921874, 1.7721283986227474], [""P02_N1"", 0.0006062852337854764, 0.08979664232652414], [""P03_N1"", -0.013268331210136387, 1.784858308118126], [""P04_N1"", 4.496021562398994e-05, 0.009217482208899315], [""P05_N1"", 0.01476814169049801, 1.4496601853799307], [""P06_N1"", 0.012251586409835398, 1.765578537272963]]"
E1_I0033_aggregation_level,E1_I0033_aggregation_level/nulls/permutation_draws_P09_P14.npz,12,P09_raw|P09_norm|P10_raw|P10_norm|P11_raw|P11_norm|P12_raw|P12_norm|P13_raw|P13_norm|P14_raw|P14_norm,False,False,"[[""P09_raw"", 0.009286023883592951, 1.1547189132907165], [""P09_norm"", -0.008456358978363155, 0.46640302148334134], [""P10_raw"", 0.00835764325025668, 1.0611054593987563], [""P10_norm"", -0.007698147883928323, 0.4416833307464666], [""P11_raw"", 0.0009048473935158139, 0.18344236773760605], [""P11_norm"", -0.0017834435269051352, 0.07613844182715712]]"
E1_I0033_aggregation_level,E1_I0033_aggregation_level/nulls/type_I_pvalues.npz,1,p,False,False,"[[""p"", 0.4980740432612313, 0.2807714680641242]]"
E1_I0034_redistribution,E1_I0034_redistribution/nulls/permutation_draws_P01_P06.npz,14,P01_minutes|P01_fga|P01_pts|P02_minutes|P02_fga|P02_pts|P03_minutes|P03_fga|P03_pts|P04_minutes|P04_fga|P04_pts|P05|P06,False,False,"[[""P01_minutes"", -0.00017249947619421752, 0.017267333050083256], [""P01_fga"", -0.0001923765502885306, 0.016979872455927872], [""P01_pts"", -0.0012674282214292887, 0.01798569938179805], [""P02_minutes"", -0.023204218111673357, 0.029517617850830322], [""P02_fga"", -0.0269955288323028, 0.04664866983339467], [""P02_pts"", -0.04087980572397916, 0.06473005294586653]]"
E1_I0034_redistribution,E1_I0034_redistribution/nulls/type_I_pvalues.npz,6,N2_minutes|N2_fga|N2_pts|N1_minutes|N1_fga|N1_pts,False,False,"[[""N2_minutes"", 0.4903393213572854, 0.29454000632077965], [""N2_fga"", 0.4916017964071856, 0.2824937833184921], [""N2_pts"", 0.49568862275449105, 0.28219599702816867], [""N1_minutes"", 0.5239817123857026, 0.29749348021464345], [""N1_fga"", 0.5068162926018288, 0.2981829644374968], [""N1_pts"", 0.5158769742310889, 0.29699567412079636]]"
E1_I0034_redistribution,E1_I0034_redistribution/nulls/_p03_losses.npz,15,minutes_l0|minutes_l1|minutes_tg|minutes_y|minutes_mask|fga_l0|fga_l1|fga_tg|fga_y|fga_mask|pts_l0|pts_l1|pts_tg|pts_y|pts_mask,False,False,"[[""minutes_l0"", 4.866367945824594, 3.8888965041230614], [""minutes_l1"", 4.8368712968761205, 3.8354181691541216], [""minutes_y"", 21.62643918863431, 10.755306168973627], [""fga_l0"", 2.556660587191884, 2.066460485680747], [""fga_l1"", 2.5492982952627816, 2.057265733706471], [""fga_y"", 7.344419807834442, 5.416218950367193]]"
E1_I0035_availability_sum,E1_I0035_availability_sum/nulls/permutation_draws.npz,17,team_Xa|team_XaO|team_Xb|team_Xc|team_Xd|player_brier_Xa_RS1P|player_brier_Xa_RS1P-A|player_brier_Xa_RS1P-B|player_brier_XaO_RS1P|player_brier_XaO_RS1P-A|player_brier_XaO_RS1P-B|player_brier_Xb_RS1P|player_brier_Xb_RS1P-A|player_brier_Xb_RS1P-B|player_brier_Xc_RS1P|player_brier_Xc_RS1P-A|player_brier_Xc_RS1P-B,False,False,"[[""team_Xa"", 0.011402162714489383, 1.4315687467668818], [""team_XaO"", 0.010279977287319025, 1.4952384055841708], [""team_Xb"", 0.011423454781869354, 1.6403879385044475], [""team_Xc"", 0.007480405202861729, 0.5391935581184], [""team_Xd"", 0.010058242111896168, 1.763222728477844], [""player_brier_Xa_RS1P"", -2.6436095721987952e-05, 0.0019902474242232]]"
E1_I0035_availability_sum,E1_I0035_availability_sum/nulls/type_I_pvalues.npz,1,p,False,False,"[[""p"", 0.48722527472527477, 0.29515986183140364]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/d097_r08_null_draws.npz,4,N_ROW|N_CYCLIC|N_PSWAP|observed_dr2,False,False,"[[""N_ROW"", 4.9258096265809535e-05, 6.78989078388952e-05], [""N_CYCLIC"", 0.007900880181740138, 0.0005770137676563521], [""N_PSWAP"", 7.543285071534914e-05, 9.476400171115303e-05]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/fair_L1_B_TEAM_COMPLETE.npz,4,draws|observed|z_null|z_obs,False,False,"[[""draws"", 0.002049705253501272, 0.0025894943503492374], [""z_null"", -1.1822674471881867e-17, 0.9991677068886807]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/fair_L1_B_TEAM_PLUS_OPP.npz,4,draws|observed|z_null|z_obs,False,False,"[[""draws"", 0.0008561464820907557, 0.0011409413765923555], [""z_null"", 7.09360468312912e-17, 0.999167706888681]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/fair_L2_B_TEAM_COMPLETE.npz,4,draws|observed|z_null|z_obs,False,False,"[[""draws"", 0.0020538571976588685, 0.002500735740211474], [""z_null"", -6.798037821332073e-17, 0.9991677068886807]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/fair_L2_B_TEAM_PLUS_OPP.npz,4,draws|observed|z_null|z_obs,False,False,"[[""draws"", 0.0009345604330307965, 0.0011953441646823382], [""z_null"", 1.1822674471881867e-17, 0.9991677068886807]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/fair_L3_B_TEAM_COMPLETE.npz,4,draws|observed|z_null|z_obs,False,False,"[[""draws"", 0.0023673038574684837, 0.003166251581535769], [""z_null"", 2.9556686179704667e-18, 0.9991677068886807]]"
E1_I0036_level_artefact_sweep,E1_I0036_level_artefact_sweep/nulls/fair_L3_B_TEAM_PLUS_OPP.npz,4,draws|observed|z_null|z_obs,False,False,"[[""draws"", 0.0008858705923224477, 0.001344595962336236], [""z_null"", 1.4778343089852333e-17, 0.9991677068886807]]"
