screen,file,rows,ncols,is_draw_dump,p_cols,within_cols,between_cols,row_cols,null_mean_cols,null_sd_cols,all_cols,error
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_features_ast.csv,8349,14,False,player_id|possessions|pair_n,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|e|pair_n|M_pair,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_features_pts.csv,8349,14,False,player_id|possessions|pair_n,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|e|pair_n|M_pair,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_features_reb.csv,8349,14,False,player_id|possessions|pair_n,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|e|pair_n|M_pair,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_placebo_draws_ast.csv,200,3,False,,,,,,,dR2_M|dR2_OxM|target,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_placebo_draws_pts.csv,200,3,False,,,,,,,dR2_M|dR2_OxM|target,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f1_placebo_draws_reb.csv,200,3,False,,,,,,,dR2_M|dR2_OxM|target,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f2_features_ast.csv,10014,17,False,player_id|possessions,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|orient|opp_nominal|opp_available|M_delta|opp_spec_out|opp_pool_n,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f2_features_pts.csv,10014,17,False,player_id|possessions,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|orient|opp_nominal|opp_available|M_delta|opp_spec_out|opp_pool_n,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f2_features_reb.csv,10014,17,False,player_id|possessions,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|orient|opp_nominal|opp_available|M_delta|opp_spec_out|opp_pool_n,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f2_placebo_draws_ast.csv,200,3,False,,,,,,,dR2_M|dR2_OxM|target,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f2_placebo_draws_pts.csv,200,3,False,,,,,,,dR2_M|dR2_OxM|target,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f2_placebo_draws_reb.csv,200,3,False,,,,,,,dR2_M|dR2_OxM|target,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f34_features_ast.csv,13753,26,False,player_id|possessions,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|dstrength|d3par|dtovf|dorebA|dpace|own_3par|own_tovr|own_orebr|own_usg|own_rest|opp_rest|rest_dif|own_b2b|own_travel|own_tz,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f34_features_pts.csv,13753,26,False,player_id|possessions,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|dstrength|d3par|dtovf|dorebA|dpace|own_3par|own_tovr|own_orebr|own_usg|own_rest|opp_rest|rest_dif|own_b2b|own_travel|own_tz,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f34_features_reb.csv,13753,26,False,player_id|possessions,,,,,,game_id|season|game_date|team_id|opp_team_id|player_id|minutes|possessions|y|own_pre|def_pre|dstrength|d3par|dtovf|dorebA|dpace|own_3par|own_tovr|own_orebr|own_usg|own_rest|opp_rest|rest_dif|own_b2b|own_travel|own_tz,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_d3par.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dorebA.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dpace.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_ast_dtovf.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_d3par.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dorebA.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dpace.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_pts_dtovf.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_d3par.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dorebA.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dpace.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f3_placebo_draws_reb_dtovf.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|dim,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_b2b.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_rest.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_travel.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_rest_dif.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_b2b.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_rest.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_travel.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_rest_dif.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_b2b.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_rest.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_travel.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_rest_dif.csv,200,4,False,,,,,,,dR2_M|dR2_OxM|target|var,
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/r1_placebo_per100poss.csv,400,3,False,,,,,,,dR2_M|dR2_OxM|unit,
