target,over,added,null,stratum,n,r2_base,dr2_own_sst,dr2_on_full_wf_sst,sst_basis,perm_p,null_p95,n_draws,block,comparison,arm,mae,mae_base,skill_vs_base,p_blockflip,mae_d094_est,null_mean,null_sd,n_draws_rec,within,vsb_max_component,is_kill,z,EXPOSURE
pts,base_only,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.5177170769212127,0.0002147162129964,0.0002147162129964,own stratum SST + full wf_eval SST (D099),0.9570214892553724,0.0010160774272028,2000.0,dr2,,,,,,,,0.0005654359194655491,0.0002471588261248841,2000,True,0.7275131418617075,True,-1.4190053900480089,EXPOSED
pts,base_only,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.3242554421982402,0.0010912671889604,0.0004034050584371,own stratum SST + full wf_eval SST (D099),0.4117941029485257,0.0023722519723484,2000.0,dr2,,,,,,,,0.0005654359194655491,0.0002471588261248841,2000,True,0.7275131418617075,True,2.1275035075185196,EXPOSED
pts,base_only,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.5177170769212127,1.912370398126985e-05,1.912370398126985e-05,own stratum SST + full wf_eval SST (D099),0.6051974012993503,0.0002788211611547,2000.0,dr2,,,,,,,,7.133324650174616e-05,0.00010285020549498329,2000,False,1.0,True,-0.5076270122087693,NOT_EXPOSED
pts,base_only,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.3242554421982402,1.2895636418310533e-06,4.76708638868548e-07,own stratum SST + full wf_eval SST (D099),0.9375312343828086,0.0009179633563445,2000.0,dr2,,,,,,,,7.133324650174616e-05,0.00010285020549498329,2000,False,1.0,True,-0.6810261829115316,NOT_EXPOSED
pts,base_only,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.5177170769212127,0.000216185924765,0.000216185924765,own stratum SST + full wf_eval SST (D099),0.9720139930034982,0.001028132723129,2000.0,dr2,,,,,,,,0.0005849664150200431,0.0002456756956550999,2000,True,1.0,True,-1.501086581933477,EXPOSED
pts,base_only,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.3242554421982402,0.0010943160233315,0.0004045321107484,own stratum SST + full wf_eval SST (D099),0.4427786106946527,0.0022944883189564,2000.0,dr2,,,,,,,,0.0005849664150200431,0.0002456756956550999,2000,True,1.0,True,2.0732600632442066,EXPOSED
pts,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.5202934872479927,0.0002049994770061,0.0002049994770061,own stratum SST + full wf_eval SST (D099),0.9220389805097452,0.0007853866502011,2000.0,dr2,,,,,,,,0.0004419852320188742,0.00019405597210459243,2000,True,0.7275131418617075,True,-1.2212237141820272,EXPOSED
pts,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.3283304270083925,0.001201596951682,0.0004441902894312,own stratum SST + full wf_eval SST (D099),0.3463268365817091,0.0021087884860477,2000.0,dr2,,,,,,,,0.0004419852320188742,0.00019405597210459243,2000,True,0.7275131418617075,True,3.9143949625714676,EXPOSED
pts,base_plus_RAPM,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.5202934872479927,6.01519254752454e-05,6.01519254752454e-05,own stratum SST + full wf_eval SST (D099),0.3808095952023988,0.0003082354194902,2000.0,dr2,,,,,,,,7.784343574894399e-05,0.00010715361575408044,2000,False,1.0,True,-0.1651041838317518,NOT_EXPOSED
pts,base_plus_RAPM,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.3283304270083925,5.215552915388948e-06,1.928015842406702e-06,own stratum SST + full wf_eval SST (D099),0.8825587206396801,0.0009259612239547,2000.0,dr2,,,,,,,,7.784343574894399e-05,0.00010715361575408044,2000,False,1.0,True,-0.6777921801559864,NOT_EXPOSED
