screen,file,rows,numeric_cols,standardised_cols,RAW_RECOVERABLE,stats
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_b2b.csv,200,2,,True,"{""dR2_M"": {""mean"": 5.964786147110908e-05, ""sd"": 8.903342229930123e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 8.066023236709131e-05, ""sd"": 0.00011722843898722321, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_rest.csv,200,2,,True,"{""dR2_M"": {""mean"": 6.146579728688398e-05, ""sd"": 9.353373266099256e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 8.36864987620228e-05, ""sd"": 0.00014109378273258406, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_own_travel.csv,200,2,,True,"{""dR2_M"": {""mean"": 6.084272505762831e-05, ""sd"": 7.904988705179677e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 8.127009642535842e-05, ""sd"": 0.00011854096638415427, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_ast_rest_dif.csv,200,2,,True,"{""dR2_M"": {""mean"": 6.289786842438078e-05, ""sd"": 7.992465530394699e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 7.575615983624264e-05, ""sd"": 0.00010471141777629245, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_b2b.csv,200,2,,True,"{""dR2_M"": {""mean"": 6.191773771959011e-05, ""sd"": 8.174274048719977e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 6.965966841484893e-05, ""sd"": 0.00010803726087593101, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_rest.csv,200,2,,True,"{""dR2_M"": {""mean"": 7.202556692976473e-05, ""sd"": 0.00010180941017816792, ""n"": 200}, ""dR2_OxM"": {""mean"": 7.837180071096941e-05, ""sd"": 9.880804291181816e-05, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_own_travel.csv,200,2,,True,"{""dR2_M"": {""mean"": 7.60026353668567e-05, ""sd"": 9.40363766591943e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 8.234051844389659e-05, ""sd"": 0.00010932614927843692, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_pts_rest_dif.csv,200,2,,True,"{""dR2_M"": {""mean"": 7.097832069473385e-05, ""sd"": 8.887026285776735e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 7.577682726845159e-05, ""sd"": 9.786203975037246e-05, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_b2b.csv,200,2,,True,"{""dR2_M"": {""mean"": 5.6666540117678436e-05, ""sd"": 8.023420653684641e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 7.497380549047167e-05, ""sd"": 0.00010251486377136798, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_rest.csv,200,2,,True,"{""dR2_M"": {""mean"": 7.022978337909419e-05, ""sd"": 9.359790170620195e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 6.298152201188555e-05, ""sd"": 9.563434628554557e-05, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_own_travel.csv,200,2,,True,"{""dR2_M"": {""mean"": 6.226240208032141e-05, ""sd"": 9.524295194232925e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 6.400236599790137e-05, ""sd"": 9.371644729143094e-05, ""n"": 200}}"
E0_I0012_layer3_noncollinear,E0_I0012_layer3_noncollinear/f4_placebo_draws_reb_rest_dif.csv,200,2,,True,"{""dR2_M"": {""mean"": 5.534665481251e-05, ""sd"": 7.199990838282743e-05, ""n"": 200}, ""dR2_OxM"": {""mean"": 6.641203751868964e-05, ""sd"": 9.979212687676046e-05, ""n"": 200}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/maxt_null_draws.csv,400,1,,True,"{""maxT_null_z"": {""mean"": 2.8894441976448393, ""sd"": 1.4942604602716358, ""n"": 400}}"
E0_I0013_possession_volume,E0_I0013_possession_volume/placebo_draws_ast_exp_gposs.csv,200,2,,True,"{""cluster_perm_dR2_M"": {""mean"": 8.784136194675085e-05, ""sd"": 0.00012989111422821844, ""n"": 200}, ""naive_row_perm_dR2_M"": {""mean"": 5.458478261584186e-05, ""sd"": 7.322813599267559e-05, ""n"": 200}}"
