screen,WITHIN_ENTITY,BETWEEN_ENTITY,ROW,COVARIATE,PLACEBO
E0_I0012_layer3_noncollinear,8,0,4,0,73
E0_I0013_possession_volume,0,0,13,0,50
E0_I0015_points_skill_decomposition,3,17,24,0,9
E0_I0028_degeneracy_sweep,2,5,66,0,0
E1_I0004_efficiency_transfer,0,9,23,0,10
E1_I0004_efficiency_transfer_v2,0,7,9,0,21
E1_I0004_fga_forecast,0,0,5,0,13
E1_I0004_rim_finishing,0,0,6,0,15
E1_I0004_shot_selection,0,0,26,0,1
E1_I0008_height_mismatch,0,0,8,0,2
E1_I0009_additive_pressure,0,0,2,0,20
E1_I0009_r2_rerun,0,0,11,0,58
E1_I0011_split_alpha,0,0,2,0,10
E1_I0012_survivor_2021drop,0,0,0,0,21
E1_I0013_tempo_redundancy,0,6,29,0,6
E1_I0020_coldstart_tiering,2,4,23,0,8
E1_I0021_heterogeneity_diagnostic,22,1,12,11,13
E1_I0022_optimal_simple_estimator,9,5,11,0,0
E1_I0025_threshold_vs_refit,1,5,4,0,34
E1_I0026_detection_floor,15,45,8,0,0
E1_I0027_reference_ladder,6,4,16,0,4
E1_I0030_home_advantage_accounting,19,32,20,0,9
E1_I0031_rapm_as_prior,6,7,26,0,16
E1_I0032_aggregate_stack,2,2,4,0,92
E1_I0033_aggregation_level,0,23,30,0,5
E1_I0034_redistribution,4,14,12,0,5
E1_I0035_availability_sum,0,5,9,0,0
E1_I0036_level_artefact_sweep,16,23,14,0,0
MEASURE_F1_m13_fitpool,0,1,52,0,0
_screen_kit,159,45,120,0,33
