api_event_id,home_team,away_team,matchup_date,min,max,size
5f9b7e8e27d590f2a4c9c6b430128477,Las Vegas Aces,Golden State Valkyries,06/21/2026,-22.5,22.5,16
e3f2627b86f4dae2fc98a365c3d7adb3,Connecticut Sun,Las Vegas Aces,07/06/2025,-23.5,23.5,2
