game_id,era,season,game_date,status,n_events,n_dup_rows_dropped,n_conflicting_dup_keys,n_unattributed_pts,ot_periods,rec_home,rec_away,posted_home,posted_away,master_home,master_away,n_checkpoints,n_checkpoint_mismatch,first_mismatch_event,exact_vs_master,posted_matches_master
1022100052,v2,2021,2021-06-08,ok,402,0,0,0,0,85,81,85,81,85,81,99,0,,True,True
1022100053,v2,2021,2021-06-09,ok,382,0,0,0,0,71,95,71,95,71,95,87,0,,True,True
1022100054,v2,2021,2021-06-09,ok,386,0,0,0,0,92,76,92,76,92,76,91,0,,True,True
1022100055,v2,2021,2021-06-08,ok,392,0,0,0,0,81,85,81,85,81,85,90,0,,True,True
1022100056,v2,2021,2021-06-10,ok,415,0,0,0,0,89,71,89,71,89,71,89,0,,True,True
1022100057,v2,2021,2021-06-11,ok,369,0,0,0,0,75,86,75,86,75,86,90,0,,True,True
1022100058,v2,2021,2021-06-11,ok,378,0,0,0,0,59,77,59,77,59,77,75,0,,True,True
1022100059,v2,2021,2021-06-12,ok,388,0,0,0,0,79,83,79,83,79,83,93,0,,True,True
1022100060,v2,2021,2021-06-12,ok,384,0,0,0,0,80,64,80,64,80,64,77,0,,True,True
1022100061,v2,2021,2021-06-13,ok,332,0,0,0,0,66,89,66,89,66,89,77,0,,True,True
1022100062,v2,2021,2021-06-13,ok,400,0,0,0,0,101,78,101,78,101,78,96,0,,True,True
1022100063,v2,2021,2021-06-13,ok,438,0,0,0,0,85,78,85,78,85,78,99,0,,True,True
1022100064,v2,2021,2021-06-13,ok,403,0,0,0,0,83,85,83,85,83,85,96,0,,True,True
1022100065,v2,2021,2021-06-15,ok,362,0,0,0,0,70,87,70,87,70,87,85,0,,True,True
1022100066,v2,2021,2021-06-15,ok,395,0,0,0,0,89,105,89,105,89,105,105,0,,True,True
1022100067,v2,2021,2021-06-15,ok,363,0,0,0,0,100,78,100,78,100,78,95,0,,True,True
1022100068,v2,2021,2021-06-16,ok,369,0,0,0,0,85,80,85,80,85,80,87,0,,True,True
1022100069,v2,2021,2021-06-17,ok,372,0,0,0,0,69,79,69,79,69,79,83,0,,True,True
1022100070,v2,2021,2021-06-17,ok,384,0,0,0,0,96,93,96,93,96,93,101,0,,True,True
1022100071,v2,2021,2021-06-17,ok,395,0,0,0,0,81,75,81,75,81,75,94,0,,True,True
1022100072,v2,2021,2021-06-17,ok,402,0,0,0,0,73,85,73,85,73,85,85,0,,True,True
1022100073,v2,2021,2021-06-17,ok,455,0,0,0,0,103,76,103,76,103,76,98,0,,True,True
1022100074,v2,2021,2021-06-18,ok,376,0,0,0,0,66,80,66,80,66,80,89,0,,True,True
1022100075,v2,2021,2021-06-19,ok,369,0,0,0,0,91,81,91,81,91,81,98,0,,True,True
1022100076,v2,2021,2021-06-19,ok,386,0,0,0,0,82,77,82,77,82,77,88,0,,True,True
1022100077,v2,2021,2021-06-19,ok,374,0,0,0,0,95,77,95,77,95,77,85,0,,True,True
1022100078,v2,2021,2021-06-20,ok,376,0,0,0,0,73,76,73,76,73,76,78,0,,True,True
1022100079,v2,2021,2021-06-22,ok,360,0,0,0,0,80,70,80,70,80,70,82,0,,True,True
1022100080,v2,2021,2021-06-22,ok,363,0,0,0,0,72,92,72,92,72,92,86,0,,True,True
1022100081,v2,2021,2021-06-22,ok,339,0,0,0,0,83,87,83,87,83,87,80,0,,True,True
1022100082,v2,2021,2021-06-23,ok,362,0,0,0,0,85,87,85,87,85,87,93,0,,True,True
1022100083,v2,2021,2021-06-24,ok,389,0,0,0,0,64,89,64,89,64,89,85,0,,True,True
1022100084,v2,2021,2021-06-24,ok,387,0,0,0,0,68,91,68,91,68,91,84,0,,True,True
1022100085,v2,2021,2021-06-24,ok,365,0,0,0,0,89,82,89,82,89,82,91,0,,True,True
1022100086,v2,2021,2021-06-25,ok,443,0,0,0,1,90,89,90,89,90,89,108,0,,True,True
1022100087,v2,2021,2021-06-26,ok,360,0,0,0,0,85,74,85,74,85,74,77,0,,True,True
1022100088,v2,2021,2021-06-26,ok,376,0,0,0,0,78,101,78,101,78,101,101,0,,True,True
1022100089,v2,2021,2021-06-27,ok,390,0,0,0,0,88,79,88,79,88,79,93,0,,True,True
1022100090,v2,2021,2021-06-27,ok,386,0,0,0,0,74,58,74,58,74,58,71,0,,True,True
1022100091,v2,2021,2021-06-27,ok,438,0,0,0,1,95,92,95,92,95,92,100,0,,True,True
1022100092,v2,2021,2021-06-29,ok,377,0,0,0,0,73,69,73,69,73,69,75,0,,True,True
1022100093,v2,2021,2021-06-29,ok,337,0,0,0,0,71,90,71,90,71,90,78,0,,True,True
1022100094,v2,2021,2021-06-30,ok,411,0,0,0,0,81,91,81,91,81,91,91,0,,True,True
1022100095,v2,2021,2021-06-30,ok,357,0,0,0,0,76,82,76,82,76,82,83,0,,True,True
1022100096,v2,2021,2021-06-30,ok,410,0,0,0,0,75,99,75,99,75,99,95,0,,True,True
1022100097,v2,2021,2021-07-01,ok,376,0,0,0,0,80,86,80,86,80,86,101,0,,True,True
1022100098,v2,2021,2021-07-02,ok,348,0,0,0,0,100,91,100,91,100,91,102,0,,True,True
1022100099,v2,2021,2021-07-02,ok,352,0,0,0,0,58,66,58,66,58,66,71,0,,True,True
1022100100,v2,2021,2021-07-03,ok,352,0,0,0,0,68,99,68,99,68,99,89,0,,True,True
1022100101,v2,2021,2021-07-02,ok,373,0,0,0,0,91,88,91,88,91,88,90,0,,True,True
1022100102,v2,2021,2021-07-03,ok,382,0,0,0,0,73,67,73,67,73,67,83,0,,True,True
1022100103,v2,2021,2021-07-03,ok,378,0,0,0,0,82,79,82,79,82,79,87,0,,True,True
1022100104,v2,2021,2021-07-04,ok,396,0,0,0,0,118,95,118,95,118,95,114,0,,True,True
1022100105,v2,2021,2021-07-04,ok,353,0,0,0,0,74,84,74,84,74,84,88,0,,True,True
1022100106,v2,2021,2021-07-05,ok,365,0,0,0,0,99,96,99,96,99,96,95,0,,True,True
1022100107,v2,2021,2021-07-07,ok,362,0,0,0,0,85,79,85,79,85,79,84,0,,True,True
1022100108,v2,2021,2021-07-07,ok,428,0,0,0,1,90,99,90,99,90,99,108,0,,True,True
1022100109,v2,2021,2021-07-07,ok,376,0,0,0,0,71,62,71,62,71,62,80,0,,True,True
1022100110,v2,2021,2021-07-09,ok,364,0,0,0,0,84,72,84,72,84,72,82,0,,True,True
1022100111,v2,2021,2021-07-09,ok,363,0,0,0,0,82,69,82,69,82,69,83,0,,True,True
1022100112,v2,2021,2021-07-09,ok,363,0,0,0,0,85,77,85,77,85,77,88,0,,True,True
1022100113,v2,2021,2021-07-09,ok,351,0,0,0,0,67,77,67,77,67,77,74,0,,True,True
1022100114,v2,2021,2021-07-10,ok,412,0,0,0,1,85,89,85,89,85,89,91,0,,True,True
1022100115,v2,2021,2021-07-11,ok,407,0,0,0,0,79,95,79,95,79,95,102,0,,True,True
1022100116,v2,2021,2021-07-11,ok,348,0,0,0,0,54,71,54,71,54,71,63,0,,True,True
1022100117,v2,2021,2021-07-11,ok,416,0,0,0,0,68,79,68,79,68,79,87,0,,True,True
