api_event_id,home_team,away_team,odds_commence_time,bookmaker_key,bookmaker_title,odds_last_update,market_key,outcome_name,outcome_point,outcome_price,odds_snapshot_timestamp,odds_previous_timestamp,odds_next_timestamp,game_id,matchup_date,odds_odds_time_check,season,spread_f,point_f,price_f,snap_utc,commence_utc
236dcbf639c76773b50acf13ae3a83fe,Dallas Wings,Las Vegas Aces,2025-07-27T20:02:35Z,betmgm,BetMGM,2025-07-27T21:54:51Z,h2h,Las Vegas Aces,,-10000,2025-07-27T21:55:38Z,2025-07-27T21:50:37Z,2025-07-27T22:00:38Z,1022500162,07/27/2025,2025-07-27T22:00:00+00:00,2025,,,-10000,2025-07-27 21:55:38+00:00,2025-07-27 20:02:35+00:00
ffaf94841eb5fc3823fad8af35abc91c,Dallas Wings,Washington Mystics,2025-08-10T20:03:00Z,draftkings,DraftKings,2025-08-10T21:55:22Z,h2h,Washington Mystics,,-8500,2025-08-10T21:55:38Z,2025-08-10T21:50:38Z,2025-08-10T22:00:38Z,1022500200,08/10/2025,2025-08-10T22:00:00+00:00,2025,,,-8500,2025-08-10 21:55:38+00:00,2025-08-10 20:03:00+00:00
ffaf94841eb5fc3823fad8af35abc91c,Dallas Wings,Washington Mystics,2025-08-10T20:03:00Z,fanduel,FanDuel,2025-08-10T21:55:23Z,h2h,Washington Mystics,,-50000,2025-08-10T21:55:38Z,2025-08-10T21:50:38Z,2025-08-10T22:00:38Z,1022500200,08/10/2025,2025-08-10T22:00:00+00:00,2025,,,-50000,2025-08-10 21:55:38+00:00,2025-08-10 20:03:00+00:00
ffaf94841eb5fc3823fad8af35abc91c,Dallas Wings,Washington Mystics,2025-08-10T20:03:00Z,williamhill_us,Caesars,2025-08-10T21:52:20Z,h2h,Washington Mystics,,-10000,2025-08-10T21:55:38Z,2025-08-10T21:50:38Z,2025-08-10T22:00:38Z,1022500200,08/10/2025,2025-08-10T22:00:00+00:00,2025,,,-10000,2025-08-10 21:55:38+00:00,2025-08-10 20:03:00+00:00
fad559dd0310c49e181fa85364ff3506,Dallas Wings,Golden State Valkyries,2025-08-24T20:02:00Z,draftkings,DraftKings,2025-08-24T21:55:26Z,h2h,Golden State Valkyries,,-100000,2025-08-24T21:55:39Z,2025-08-24T21:50:38Z,2025-08-24T22:00:38Z,1022500239,08/24/2025,2025-08-24T22:00:00+00:00,2025,,,-100000,2025-08-24 21:55:39+00:00,2025-08-24 20:02:00+00:00
fad559dd0310c49e181fa85364ff3506,Dallas Wings,Golden State Valkyries,2025-08-24T20:02:00Z,williamhill_us,Caesars,2025-08-24T21:48:47Z,h2h,Golden State Valkyries,,-15000,2025-08-24T21:55:39Z,2025-08-24T21:50:38Z,2025-08-24T22:00:38Z,1022500239,08/24/2025,2025-08-24T22:00:00+00:00,2025,,,-15000,2025-08-24 21:55:39+00:00,2025-08-24 20:02:00+00:00
0a89169769259ffdecf38de610ab1c48,Washington Mystics,New York Liberty,2026-05-10T19:03:00Z,betmgm,BetMGM,2026-05-10T21:44:31Z,h2h,New York Liberty,,-10000,2026-05-10T21:55:37Z,2026-05-10T21:50:37Z,2026-05-10T22:00:37Z,1022600008,05/10/2026,2026-05-10T22:00:00+00:00,2026,,,-10000,2026-05-10 21:55:37+00:00,2026-05-10 19:03:00+00:00
0a89169769259ffdecf38de610ab1c48,Washington Mystics,New York Liberty,2026-05-10T19:03:00Z,draftkings,DraftKings,2026-05-10T21:43:11Z,h2h,New York Liberty,,-15000,2026-05-10T21:55:37Z,2026-05-10T21:50:37Z,2026-05-10T22:00:37Z,1022600008,05/10/2026,2026-05-10T22:00:00+00:00,2026,,,-15000,2026-05-10 21:55:37+00:00,2026-05-10 19:03:00+00:00
5f9b7e8e27d590f2a4c9c6b430128477,Las Vegas Aces,Golden State Valkyries,2026-06-21T20:03:42Z,betmgm,BetMGM,2026-06-21T21:55:26Z,h2h,Las Vegas Aces,,-10000,2026-06-21T21:55:36Z,2026-06-21T21:50:36Z,2026-06-21T22:00:36Z,1022600120,06/21/2026,2026-06-21T22:00:00+00:00,2026,,,-10000,2026-06-21 21:55:36+00:00,2026-06-21 20:03:42+00:00
75a6b68701084a0dcfc9c2a18a6b3f3a,Chicago Sky,Las Vegas Aces,2026-06-28T20:15:00Z,betmgm,BetMGM,2026-06-28T21:55:00Z,h2h,Las Vegas Aces,,-10000,2026-06-28T21:55:36Z,2026-06-28T21:50:36Z,2026-06-28T22:00:37Z,1022600143,06/28/2026,2026-06-28T22:00:00+00:00,2026,,,-10000,2026-06-28 21:55:36+00:00,2026-06-28 20:15:00+00:00
75a6b68701084a0dcfc9c2a18a6b3f3a,Chicago Sky,Las Vegas Aces,2026-06-28T20:15:00Z,betrivers,BetRivers,2026-06-28T21:54:14Z,h2h,Las Vegas Aces,,-10000,2026-06-28T21:55:36Z,2026-06-28T21:50:36Z,2026-06-28T22:00:37Z,1022600143,06/28/2026,2026-06-28T22:00:00+00:00,2026,,,-10000,2026-06-28 21:55:36+00:00,2026-06-28 20:15:00+00:00
75a6b68701084a0dcfc9c2a18a6b3f3a,Chicago Sky,Las Vegas Aces,2026-06-28T20:15:00Z,draftkings,DraftKings,2026-06-28T21:55:01Z,h2h,Las Vegas Aces,,-8500,2026-06-28T21:55:36Z,2026-06-28T21:50:36Z,2026-06-28T22:00:37Z,1022600143,06/28/2026,2026-06-28T22:00:00+00:00,2026,,,-8500,2026-06-28 21:55:36+00:00,2026-06-28 20:15:00+00:00
75a6b68701084a0dcfc9c2a18a6b3f3a,Chicago Sky,Las Vegas Aces,2026-06-28T20:15:00Z,fanduel,FanDuel,2026-06-28T21:55:35Z,h2h,Las Vegas Aces,,-50000,2026-06-28T21:55:36Z,2026-06-28T21:50:36Z,2026-06-28T22:00:37Z,1022600143,06/28/2026,2026-06-28T22:00:00+00:00,2026,,,-50000,2026-06-28 21:55:36+00:00,2026-06-28 20:15:00+00:00
