candidate,dependent,missing_frac,t_imputed_full,t_complete_case,n_complete
pl_min_cv5,absres_pts,0.07197924922544852,-27.02335360985,-26.22487519168042,12880
pl_min_cv5,absres_minutes,0.07197924922544852,6.959780048672151,11.242392697866208,12880
pl_min_cv5,absres_fga,0.07197924922544852,-19.86351085528932,-18.61880638668627,12880
pl_min_sd5,absres_pts,0.07197924922544852,-1.8910282196978965,-1.3475867745636847,12880
pl_min_sd5,absres_minutes,0.07197924922544852,15.849725115314635,18.914285994990657,12880
pl_min_sd5,absres_fga,0.07197924922544852,0.8504399145735259,1.8382999800298594,12880
pl_pts_sd5,absres_pts,0.07197924922544852,25.600454550138537,26.927855494933755,12880
pl_pts_sd5,absres_minutes,0.07197924922544852,-3.952872365952437,-3.0528267453268914,12880
pl_pts_sd5,absres_fga,0.07197924922544852,19.184061741148263,21.565263795443382,12880
pl_start_switch5,absres_pts,0.104546437063189,-4.207189675837765,-2.600438317505806,12428
pl_start_switch5,absres_minutes,0.104546437063189,5.457917955412808,10.399131436798081,12428
pl_start_switch5,absres_fga,0.104546437063189,-3.3927311012267287,-0.4913519264265054,12428
pl_rest_days,absres_pts,0.005115642337344184,-2.1060861521128933,-2.1701080945290827,13808
pl_rest_days,absres_minutes,0.005115642337344184,5.718463221511218,5.242750840427615,13808
pl_rest_days,absres_fga,0.005115642337344184,1.0367466061859754,0.758861886116631,13808
tm_roster_churn_prior,absres_pts,0.02442539087830531,0.282473331880808,0.659035478248028,13540
tm_roster_churn_prior,absres_minutes,0.02442539087830531,2.2402535022333594,2.96600356218724,13540
tm_roster_churn_prior,absres_fga,0.02442539087830531,0.4850643328770181,1.1154629053984986,13540
tm_five_tenure_prior,absres_pts,0.0,-3.95448376989012,-3.374441754305602,13879
tm_five_tenure_prior,absres_minutes,0.0,-8.629583131939452,-8.291376214813955,13879
tm_five_tenure_prior,absres_fga,0.0,-4.916420086845768,-4.429233348146715,13879
pl_dnp_frac5,absres_pts,0.062252323654442,-10.470794689554992,-9.202873152980402,13015
pl_dnp_frac5,absres_minutes,0.062252323654442,4.707734327879213,8.337987690948827,13015
pl_dnp_frac5,absres_fga,0.062252323654442,-5.008699701443214,-2.763762117927464,13015
