family,n_cells,best_abs_t,n_p_correct_lt_05,n_fw_lt_05,max_dec_ratio_dev
game_context,15,12.22419815268259,12,0,0.3346858731121113
opponent_unfamiliarity,6,8.626899114150424,6,0,0.3736746154922983
player_availability,9,10.470794689554992,3,0,0.27255997903615947
player_depth,15,17.466881632700055,12,0,0.43669515138667925
prediction_side[fga],15,38.85820100224693,14,7,2.0586318048168417
prediction_side[minutes],15,35.4207993560207,12,2,1.603391207464568
prediction_side[pts],27,39.352966657708805,21,6,2.042375808107064
role_level,15,36.95863108496322,14,5,1.9008504614369137
role_volatility,27,27.02335360985,10,0,1.2046250369055822
roster_stability,12,19.272431319305344,8,0,0.5436941678751936
schedule_state,18,7.457594505412182,3,0,0.24832558743693045
