candidate,family,perm_scheme,var_share_between_blocks,missing_frac_before_impute,dependent,beta_per_sd,t_classical,delta_r2_plain_unweighted,correct_null_level,p_correct_level,p_between_block_null,p_within_block_null,p_conservative_both,null_correct_sd,null_between_sd,null_within_sd,p_row_level_NAIVE,null_row_sd,null_inflation_factor,p_familywise_within_dependent,p_familywise_whole_screen,p_familywise_absres_family,dec_lo_mean,dec_hi_mean,dec_n_lo,dec_n_hi,dec_spread,dec_ratio,qrt_lo_mean,qrt_hi_mean,qrt_n_lo,qrt_n_hi,qrt_spread,qrt_ratio
pl_games_prior,player_depth,PLAYER,0.1732059994071668,0.0,pts_absres,-0.07482777544029735,-2.4526928354497914,0.0004333762221835922,WITHIN-block,0.903,0.814,0.903,0.903,0.8753220015088659,1.2896354339929263,0.8753220015088659,0.016,0.6226941078852458,1.405701435784544,1.0,1.0,1.0,5.496114232075983,4.399430697963239,1386,1389,-1.0966835341127439,0.8004620195642282,4.49713117562331,4.21304356549389,3469,3472,-0.2840876101294203,0.9368291475086792
pl_games_prior,player_depth,PLAYER,0.1732059994071668,0.0,pts_sqres,-1.2606609785238956,-2.7001733285102394,0.0005251968884392495,WITHIN-block,0.562,0.704,0.562,0.704,0.9214704286607085,1.1684802196013633,0.9214704286607085,0.006,0.6212627888821075,1.4832216658570374,1.0,1.0,,46.65989477883563,32.69031350955817,1386,1389,-13.969581269277455,0.7006083846632699,34.87709995736046,30.39046744267892,3469,3472,-4.4866325146815385,0.8713587849859438
pl_games_prior,player_depth,PLAYER,0.1732059994071668,0.0,minutes_absres,-0.5495018913427215,-15.261793749727984,0.01651003901964867,WITHIN-block,0.0,0.0,0.0,0.0,0.8255933817229756,1.0707929018719076,0.8255933817229756,0.0,0.5972186341216886,1.3823972236518554,0.0,1.0,1.0,8.45351848430836,4.761907950053229,1386,1389,-3.6916105342551306,0.5633048486133208,6.169763989106351,4.69390644273951,3469,3472,-1.475857546366841,0.7607918959343194
pl_games_prior,player_depth,PLAYER,0.1732059994071668,0.0,minutes_sqres,-10.194118682076287,-16.402017163329315,0.019020480013910532,WITHIN-block,0.0,0.0,0.0,0.0,0.7915343278595853,0.9446788099402404,0.7915343278595853,0.0,0.6024649856351828,1.3138262749412157,0.0,1.0,,105.94522123197909,37.83447851548166,1386,1389,-68.11074271649743,0.35711359205752924,64.22875505756697,36.936640733572496,3469,3472,-27.292114323994475,0.5750795060633965
pl_games_prior,player_depth,PLAYER,0.1732059994071668,0.0,fga_absres,-0.12986073843978682,-6.965485477860369,0.0034846069782292484,WITHIN-block,0.0,0.489,0.0,0.489,0.5916969475131858,1.1655610050202128,0.5916969475131858,0.0,0.6231076027045905,0.9495903194647808,1.0,1.0,1.0,3.9788999252962847,2.691010991010198,1386,1389,-1.2878889342860869,0.6763203502309283,3.0024420471710274,2.5963223828197495,3469,3472,-0.4061196643512779,0.8647368848521377
pl_games_prior,player_depth,PLAYER,0.1732059994071668,0.0,fga_sqres,-1.350790177002625,-7.768898950492504,0.004331126654287835,WITHIN-block,0.0,0.265,0.0,0.265,0.5077232950497509,1.095332040081043,0.5077232950497509,0.0,0.63774313106691,0.7961250702933594,1.0,1.0,,23.930503258358467,11.857881552403757,1386,1389,-12.07262170595471,0.4955132545431123,15.234735248724332,11.304377488997702,3469,3472,-3.930357759726631,0.7420133861495404
pl_minutes_prior,player_depth,PLAYER,0.40149312276223714,0.0,pts_absres,0.3951406765202154,13.028011330875982,0.012084895214415126,WITHIN-block,1.0,0.0,1.0,1.0,0.8619331760883637,1.4798818602804824,0.8619331760883637,0.0,0.6125452548852269,1.4071338716840844,1.0,1.0,1.0,4.4633029899848085,5.17177794788317,1386,1389,0.7084749578983613,1.1587333325763691,3.9224187304283906,4.821364592758687,3469,3472,0.8989458623302959,1.2291815137829807
pl_minutes_prior,player_depth,PLAYER,0.40149312276223714,0.0,pts_sqres,4.424457865107286,9.504923764723197,0.006469126612103216,WITHIN-block,1.0,0.0,1.0,1.0,0.9708158229327205,1.332473715033057,0.9708158229327205,0.0,0.6110347420387243,1.5888062595157562,1.0,1.0,,34.03116387323455,43.13911723220352,1386,1389,9.10795335896897,1.26763567043713,28.80567896997927,37.783167591810816,3469,3472,8.977488621831547,1.3116569004045249
pl_minutes_prior,player_depth,PLAYER,0.40149312276223714,0.0,minutes_absres,-0.6272938003505548,-17.466881632700055,0.021515513084195546,WITHIN-block,0.0,0.0,0.0,0.0,0.6673440276785463,1.2462126043072006,0.6673440276785463,0.0,0.6042531666251236,1.1044113039668422,0.0,1.0,1.0,7.625837527556834,4.352550610884234,1386,1389,-3.2732869166726006,0.5707636171313374,6.283418263367782,4.2774082394265225,3469,3472,-2.0060100239412595,0.6807454255216046
pl_minutes_prior,player_depth,PLAYER,0.40149312276223714,0.0,minutes_sqres,-10.727044956613366,-17.277458876774006,0.021061160779003447,WITHIN-block,0.0,0.0,0.0,0.0,0.6261002167338157,1.0902807509422445,0.6261002167338157,0.0,0.5867106149407166,1.0671363373868379,0.0,1.0,,94.53740033887169,32.57576232135878,1386,1389,-61.96163801751291,0.34458068663396857,66.32198197630852,31.22472098621955,3469,3472,-35.09726099008897,0.4708050039483684
