,pl_games_prior,tm_newfaces_prior,tm_first_meeting,tm_game_idx,pl_minutes_prior,pts__is_fallback,tm_five_tenure_prior,tm_prior_meetings,pl_dnp_frac5,pts__pred_width
pl_games_prior,1.0,-0.2766,-0.5086,0.8965,0.8578,-0.4106,0.2965,0.7256,-0.1741,0.0463
tm_newfaces_prior,-0.2766,1.0,0.2686,-0.308,-0.2152,0.5846,-0.1433,-0.2017,-0.0664,0.1324
tm_first_meeting,-0.5086,0.2686,1.0,-0.5737,-0.3995,0.2935,-0.1389,-0.6481,-0.0416,0.0569
tm_game_idx,0.8965,-0.308,-0.5737,1.0,0.7093,-0.387,0.2943,0.7952,0.0351,-0.0848
pl_minutes_prior,0.8578,-0.2152,-0.3995,0.7093,1.0,-0.3233,0.2523,0.5845,-0.2573,0.3888
pts__is_fallback,-0.4106,0.5846,0.2935,-0.387,-0.3233,1.0,-0.1592,-0.2483,0.0765,0.218
tm_five_tenure_prior,0.2965,-0.1433,-0.1389,0.2943,0.2523,-0.1592,1.0,0.2862,-0.0188,-0.0662
tm_prior_meetings,0.7256,-0.2017,-0.6481,0.7952,0.5845,-0.2483,0.2862,1.0,0.0259,-0.0504
pl_dnp_frac5,-0.1741,-0.0664,-0.0416,0.0351,-0.2573,0.0765,-0.0188,0.0259,1.0,-0.3111
pts__pred_width,0.0463,0.1324,0.0569,-0.0848,0.3888,0.218,-0.0662,-0.0504,-0.3111,1.0
