rule,candidate,target,direction,coverage,n_kept,mae_model,rmse_model,mae_reference_prior_mean,skill_vs_reference,mae_reduction_vs_full,mae_pct_reduction_vs_full,skill_gain_vs_full
pred_width_pts,pts__pred_width,pts,1,1.0,13879,4.190919667572693,5.52122155908056,4.181628792249526,-0.0022218316796525084,0.0,0.0,0.0
pred_width_pts,pts__pred_width,pts,1,0.9,12491,4.076734153666862,5.406776848785209,4.097938356681686,0.005174358706555471,0.11418551390583076,2.7245932387905922,0.007396190386207979
pred_width_pts,pts__pred_width,pts,1,0.8,11103,3.92775423409967,5.224253879461335,3.959201343213628,0.007942791080292166,0.2631654334730231,6.279419658393117,0.010164622759944675
pred_width_pts,pts__pred_width,pts,1,0.75,10409,3.857658776688181,5.163520816410486,3.9075710509891746,0.01277322245704493,0.33326089088451205,7.951975158653682,0.014995054136697439
pred_width_pts,pts__pred_width,pts,1,0.6,8327,3.5779229858699493,4.8751737716435875,3.648711058759893,0.019400843681495195,0.6129966817027439,14.62678195542175,0.021622675361147703
pred_width_pts,pts__pred_width,pts,1,0.5,6940,3.2315148513202936,4.4078963544225,3.3372872767107724,0.031694132575463496,0.9594048162523996,22.89246495645835,0.033915964255116005
pred_width_pts,pts__pred_width,pts,1,0.4,5552,2.9100794539809423,3.9849071270452754,3.0404446006567114,0.04287700116213644,1.280840213591751,30.56227069925182,0.04509883284178895
pred_width_pts,pts__pred_width,pts,1,0.25,3470,2.517056500545176,3.575562517781094,2.651157082308169,0.05058190729545209,1.673863167027517,39.94023507487055,0.0528037389751046
pred_width_pts,pts__pred_width,pts,1,0.1,1388,1.9920427243022898,3.0328871370534256,2.081236022051757,0.042855926384330556,2.1988769432704034,52.46764714399678,0.045077758063983064
pred_sd_pts,pts__pred_sd,pts,1,1.0,13879,4.190919667572693,5.52122155908056,4.181628792249526,-0.0022218316796525084,0.0,0.0,0.0
pred_sd_pts,pts__pred_sd,pts,1,0.9,12491,4.263662341606005,5.607248571917989,4.2614081110974835,-0.0005289872384319771,-0.0727426740333117,-1.7357210303065287,0.0016928444412205312
pred_sd_pts,pts__pred_sd,pts,1,0.8,11103,4.226945475506531,5.564866706927849,4.221169497386177,-0.0013683359845961807,-0.036025807933837584,-0.8596158073032952,0.0008534956950563277
pred_sd_pts,pts__pred_sd,pts,1,0.75,10409,4.232015960193439,5.577982114956575,4.213262301987378,-0.004451101512767286,-0.04109629262074588,-0.9806032059914936,-0.0022292698331147776
pred_sd_pts,pts__pred_sd,pts,1,0.6,8327,4.310548773727025,5.684130580099508,4.291200722142238,-0.004508773380129449,-0.1196291061543322,-2.854483398476098,-0.002286941700476941
pred_sd_pts,pts__pred_sd,pts,1,0.5,6940,4.311616866470039,5.690401990640229,4.30865312467855,-0.0006878580627698305,-0.12069719889734554,-2.879969278133437,0.0015339736168826779
pred_sd_pts,pts__pred_sd,pts,1,0.4,5552,4.269959350512299,5.6499559923152205,4.257069081489169,-0.0030279680165823386,-0.07903968293960606,-1.8859746597191267,-0.0008061363369298302
pred_sd_pts,pts__pred_sd,pts,1,0.25,3470,4.505619758391276,5.916268084978721,4.485304937305159,-0.00452919508708427,-0.3147000908185831,-7.509093845286035,-0.0023073634074317617
pred_sd_pts,pts__pred_sd,pts,1,0.1,1388,4.519161781557829,6.040984099354507,4.454778408890072,-0.014452654376539087,-0.3282421139851355,-7.832221565230992,-0.012230822696886579
pred_point_pts,pts__pred_point,pts,1,1.0,13879,4.190919667572693,5.52122155908056,4.181628792249526,-0.0022218316796525084,0.0,0.0,0.0
pred_point_pts,pts__pred_point,pts,1,0.9,12491,4.00027200731511,5.274019323607873,3.9947873039588613,-0.0013729650514342495,0.19064766025758306,4.549065011499083,0.0008488666282182589
pred_point_pts,pts__pred_point,pts,1,0.8,11103,3.8424284922806846,5.073846661891293,3.8312211996616043,-0.002925253342216383,0.34849117529200857,8.315386667715549,-0.0007034216625638745
pred_point_pts,pts__pred_point,pts,1,0.75,10409,3.7740636775132135,4.992739604263316,3.765945736855146,-0.0021556180639092926,0.4168559900594797,9.94664711148986,6.621361574321583e-05
pred_point_pts,pts__pred_point,pts,1,0.6,8327,3.542486855125338,4.752758376964223,3.524364168021633,-0.005142115354633825,0.6484328124473553,15.472327409771518,-0.0029202836749813166
pred_point_pts,pts__pred_point,pts,1,0.5,6940,3.125599635663445,4.199238957712481,3.247439109004299,0.03751863214402551,1.0653200319092484,25.41971968950345,0.03974046382367802
pred_point_pts,pts__pred_point,pts,1,0.4,5552,2.9171898267150995,3.9993926045377193,3.045176432778785,0.042029290876553604,1.2737298408575937,30.39260930513888,0.04425112255620611
pred_point_pts,pts__pred_point,pts,1,0.25,3470,2.5255086198642127,3.6017457041741903,2.6568923742290202,0.0494501605105222,1.6654110477084805,39.73855811636345,0.05167199219017471
pred_point_pts,pts__pred_point,pts,1,0.1,1388,2.00161377304995,3.038446371225649,2.106549264384333,0.04981392702679166,2.189305894522743,52.23927128602659,0.05203575870644417
is_fallback_minutes,pts__is_fallback,minutes,1,1.0,13879,5.079670829517937,6.640095042190313,5.266906514137652,0.03554946041231777,8.881784197001252e-16,1.748496013834057e-14,2.220446049250313e-16
is_fallback_minutes,pts__is_fallback,minutes,1,0.9,12491,4.690096220915524,6.078591267335467,5.0889247696605695,0.07837186965757559,0.38957460860241433,7.669288457405518,0.04282240924525804
is_fallback_minutes,pts__is_fallback,minutes,1,0.8,11103,4.623052890170186,5.9905430105562925,4.959641534058772,0.0678655184204684,0.4566179393477521,8.989124584497638,0.03231605800815085
is_fallback_minutes,pts__is_fallback,minutes,1,0.75,10409,4.659655689011242,6.023871976249684,5.012654594986841,0.07042154995651073,0.4200151405066963,8.268550356963894,0.034872089544193186
is_fallback_minutes,pts__is_fallback,minutes,1,0.6,8327,4.692333565757124,6.048082251408158,5.0571025038253286,0.07213002658978795,0.3873372637608137,7.625243382110491,0.03658056617747041
is_fallback_minutes,pts__is_fallback,minutes,1,0.5,6940,4.578997336325881,5.89858772842082,4.907487953100011,0.06693661195166578,0.5006734931920569,9.856416094575383,0.031387151539348235
is_fallback_minutes,pts__is_fallback,minutes,1,0.4,5552,4.593293339775989,5.910019433171086,4.898734791448377,0.06235108955185564,0.4863774897419493,9.574980467545505,0.026801629139538097
is_fallback_minutes,pts__is_fallback,minutes,1,0.25,3470,4.653636607811047,5.947332505681971,4.966057062855457,0.0629111689797558,0.42603422170689065,8.387043885426753,0.027361708567438248
is_fallback_minutes,pts__is_fallback,minutes,1,0.1,1388,4.44038249314877,5.662581898767261,4.753982922816003,0.06596583007527346,0.6392883363691677,12.585231559774835,0.03041636966295591
games_prior_minutes,pl_games_prior,minutes,-1,1.0,13879,5.079670829517938,6.640095042190313,5.266906514137652,0.035549460412317546,0.0,0.0,0.0
games_prior_minutes,pl_games_prior,minutes,-1,0.9,12491,4.700208644562337,6.093747293123034,5.107418031442592,0.07972901070039073,0.37946218495560124,7.4702121001728825,0.04417955028807319
games_prior_minutes,pl_games_prior,minutes,-1,0.8,11103,4.70560997431294,6.095413133702656,5.155452382006311,0.08725566145532115,0.37406085520499843,7.363879821332771,0.05170620104300361
games_prior_minutes,pl_games_prior,minutes,-1,0.75,10409,4.719700434624265,6.118076887384302,5.184802955908444,0.08970495604932538,0.359970394893673,7.086490581277178,0.05415549563700783
