
====================================================================================================
EVERY CANDIDATE x |resid| DEPENDENT, GROUPED BY FAMILY
====================================================================================================

--- FAMILY: game_context ---
          candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
       opp_game_idx     fga_absres       WITHIN-block                  0.032946    -0.183682    -9.869634            0.000              0.000               1.294444                         1.0     3.673679     2.604356   0.708923
       opp_game_idx minutes_absres       WITHIN-block                  0.032946    -0.439484   -12.169417            0.000              0.000               1.546262                         1.0     7.351185     4.930905   0.670763
       opp_game_idx     pts_absres       WITHIN-block                  0.032946    -0.212030    -6.960484            0.000              0.000               1.009935                         1.0     5.238535     4.102019   0.783047
opp_poss_mean_prior     fga_absres       WITHIN-block                  0.020463     0.112988     6.057917            0.000              0.000               1.030589                         1.0     2.569096     2.951077   1.148683
opp_poss_mean_prior minutes_absres       WITHIN-block                  0.020463     0.220205     6.073309            0.000              0.000               1.228094                         1.0     5.034347     5.786639   1.149432
opp_poss_mean_prior     pts_absres       WITHIN-block                  0.020463     0.145103     4.759007            0.000              0.000               0.994558                         1.0     4.052026     4.551123   1.123172
        tm_game_idx     fga_absres       WITHIN-block                  0.030048    -0.185474    -9.966616            0.000              0.000               1.263947                         1.0     3.683047     2.604356   0.707120
        tm_game_idx minutes_absres       WITHIN-block                  0.030048    -0.441441   -12.224198            0.000              0.000               1.524465                         1.0     7.411394     4.930905   0.665314
        tm_game_idx     pts_absres       WITHIN-block                  0.030048    -0.210332    -6.904582            0.000              0.000               0.983399                         1.0     5.241369     4.102019   0.782624
         tm_is_home     fga_absres       WITHIN-block                  0.002403     0.005022     0.268926            0.827              0.791               1.058543                         1.0     2.721805     2.390968   0.878449
         tm_is_home minutes_absres       WITHIN-block                  0.002403    -0.051936    -1.430612            0.187              0.154               1.069388                         1.0     4.742305     5.735229   1.209376
         tm_is_home     pts_absres       WITHIN-block                  0.002403    -0.014315    -0.469108            0.678              0.614               1.016894                         1.0     4.404438     3.435368   0.779979
 tm_poss_mean_prior     fga_absres       WITHIN-block                  0.473743     0.125650     6.738858            0.000              0.000               0.927154                         1.0     2.638729     2.929956   1.110366
 tm_poss_mean_prior minutes_absres       WITHIN-block                  0.473743     0.233076     6.429326            0.000              0.000               1.104901                         1.0     5.161655     5.766642   1.117208
 tm_poss_mean_prior     pts_absres       WITHIN-block                  0.473743     0.128031     4.198341            0.000              0.000               1.125382                         1.0     4.164159     4.562644   1.095694

--- FAMILY: opponent_unfamiliarity ---
        candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
 tm_first_meeting     fga_absres       WITHIN-block                  0.003457     0.147485     7.914812            0.000                0.0               1.073225                         1.0     2.702779     2.807685   1.038814
 tm_first_meeting minutes_absres       WITHIN-block                  0.003457     0.312372     8.626899            0.000                0.0               1.123930                         1.0     4.614471     6.338781   1.373675
 tm_first_meeting     pts_absres       WITHIN-block                  0.003457     0.154096     5.054490            0.000                0.0               1.035444                         1.0     4.408022     4.191429   0.950864
tm_prior_meetings     fga_absres       WITHIN-block                  0.046751    -0.104704    -5.612676            0.000                0.0               1.333300                         1.0     2.938074     2.452369   0.834686
tm_prior_meetings minutes_absres       WITHIN-block                  0.046751    -0.234972    -6.481769            0.000                0.0               1.548338                         1.0     5.185369     4.965978   0.957690
tm_prior_meetings     pts_absres       WITHIN-block                  0.046751    -0.107587    -3.527294            0.002                0.0               1.053442                         1.0     4.620158     3.817187   0.826203

--- FAMILY: player_availability ---
                candidate      dependent correct_null_level  var_share_between_blocks  beta_per_sd  t_classical  p_correct_level  p_row_level_NAIVE  null_inflation_factor  p_familywise_absres_family  dec_lo_mean  dec_hi_mean  dec_ratio
             pl_dnp_frac5     fga_absres       WITHIN-block                  0.397168    -0.093458    -5.008700            0.172              0.000               1.236321                         1.0     2.783700     2.377996   0.854257
             pl_dnp_frac5 minutes_absres       WITHIN-block                  0.397168     0.170783     4.707734            0.937              0.000               1.453596                         1.0     4.813154     5.586436   1.160660
             pl_dnp_frac5     pts_absres       WITHIN-block                  0.397168    -0.318262   -10.470795            0.023              0.000               1.225611                         1.0     4.570919     3.325069   0.727440
