coverage,n_kept,mae_model,mae_reference,skill
1.0,12818,4.69325258075537,5.101066665598244,0.07994682515976226
0.9,11536,4.697970843497219,5.134364430928732,0.08499466551356105
0.8,10254,4.713903504837261,5.1872063708583145,0.09124427142133096
0.75,9614,4.70487288714069,5.208071868412598,0.09661905480295951
0.6,7691,4.696615926416251,5.259055211768224,0.10694683031533858
0.5,6409,4.705668008373653,5.27864474761809,0.10854618309045783
0.4,5127,4.6744791046087295,5.251782688270308,0.10992526117864088
0.25,3204,4.710977300319375,5.270470950406817,0.10615629141153982
0.1,1282,4.682183845720485,5.391036003242805,0.13148718671066795
