record_idx,slate_date,team,side,sha,n_roster_name_key,n_roster_id_key,keys_differ,n_name_collisions,n_name_variants,n_departed_E1_I0045_rule,n_stale_phantom,n_arrival_not_debuted
0,2026-07-31,ATL,home,f7f9a1892026,13,13,False,0,0,0,0,0
0,2026-07-31,SEA,away,f7f9a1892026,13,13,False,0,0,0,0,0
1,2026-07-31,WAS,home,f7f9a1892026,13,13,False,0,0,0,0,0
1,2026-07-31,DAL,away,f7f9a1892026,14,14,False,0,0,1,0,1
2,2026-07-31,PDX,home,f7f9a1892026,13,13,False,0,0,0,0,0
2,2026-07-31,IND,away,f7f9a1892026,12,12,False,0,0,0,0,0
3,2026-07-31,ATL,home,6fc79daf15b6,13,13,False,0,0,0,0,0
3,2026-07-31,SEA,away,6fc79daf15b6,13,13,False,0,0,0,0,0
4,2026-07-31,WAS,home,6fc79daf15b6,13,13,False,0,0,0,0,0
4,2026-07-31,DAL,away,6fc79daf15b6,14,14,False,0,0,1,0,1
5,2026-07-31,PDX,home,6fc79daf15b6,13,13,False,0,0,0,0,0
5,2026-07-31,IND,away,6fc79daf15b6,12,12,False,0,0,0,0,0
6,2026-08-01,CHI,home,b3026fc590e8,13,13,False,0,0,0,0,0
6,2026-08-01,LVA,away,b3026fc590e8,13,13,False,0,0,0,0,0
7,2026-08-01,PHX,home,b3026fc590e8,11,11,False,0,0,0,0,0
7,2026-08-01,NYL,away,b3026fc590e8,12,12,False,0,0,0,0,0
10,2026-08-03,NYL,home,735b63bcb4e3,14,14,False,0,0,0,0,0
10,2026-08-03,SEA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
11,2026-08-03,ATL,home,735b63bcb4e3,13,13,False,0,0,0,0,0
11,2026-08-03,LVA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
12,2026-08-03,CHI,home,735b63bcb4e3,13,13,False,0,0,0,0,0
12,2026-08-03,PHX,away,735b63bcb4e3,11,11,False,0,0,0,0,0
13,2026-08-03,NYL,home,735b63bcb4e3,14,14,False,0,0,0,0,0
13,2026-08-03,SEA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
14,2026-08-03,ATL,home,735b63bcb4e3,13,13,False,0,0,0,0,0
14,2026-08-03,LVA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
15,2026-08-03,CHI,home,735b63bcb4e3,13,13,False,0,0,0,0,0
15,2026-08-03,PHX,away,735b63bcb4e3,11,11,False,0,0,0,0,0
16,2026-08-03,NYL,home,735b63bcb4e3,14,14,False,0,0,0,0,0
16,2026-08-03,SEA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
17,2026-08-03,ATL,home,735b63bcb4e3,13,13,False,0,0,0,0,0
17,2026-08-03,LVA,away,735b63bcb4e3,13,13,False,0,0,0,0,0
