root,target,kind,exists,log_refs,player_layer_refs,is_consumer
LIVE_main,evalharness/forecast_log.py,file,True,15.0,0.0,
LIVE_main,evalharness/__init__.py,file,True,1.0,0.0,
LIVE_main,verify_all.py,file,True,1.0,0.0,
LIVE_main,migrate_forecast_log_schema2.py,file,True,4.0,0.0,
LIVE_main,prospective_pair/alt_model_log.py,file,True,1.0,0.0,
LIVE_main,tests/test_forecast_log.py,file,True,23.0,0.0,
LIVE_main,ops_adoption_tests/D4/TESTS.py,file,True,6.0,0.0,
LIVE_main,daily_forecast.py,file,True,9.0,21.0,
LIVE_main,props_edge.py,file,True,0.0,0.0,
LIVE_main,conditional_edge.py,file,True,0.0,0.0,
LIVE_main,calibrated_prob_edge.py,file,True,0.0,0.0,
LIVE_main,daily_certify.py,file,True,0.0,0.0,
LIVE_main,daily_refresh.py,file,True,0.0,0.0,
LIVE_main,props_capture_daily.py,file,True,0.0,0.0,
LIVE_main,odds_capture_daily.py,file,True,0.0,0.0,
LIVE_main,injury_capture_daily.py,file,True,0.0,0.0,
LIVE_main,wnba-prediction-engine/,dir,True,0.0,0.0,
LIVE_main,wnba_odds_system/,dir,True,0.0,0.0,
LIVE_main,wnba-odds-aggregator/,dir,True,0.0,0.0,
LIVE_main,leaderboards/,dir,True,0.0,0.0,
worktree,evalharness/forecast_log.py,file,True,15.0,0.0,
worktree,evalharness/__init__.py,file,True,1.0,0.0,
worktree,verify_all.py,file,True,1.0,0.0,
worktree,migrate_forecast_log_schema2.py,file,False,,,
worktree,prospective_pair/alt_model_log.py,file,False,,,
worktree,tests/test_forecast_log.py,file,True,23.0,0.0,
worktree,ops_adoption_tests/D4/TESTS.py,file,False,,,
worktree,daily_forecast.py,file,True,9.0,27.0,
worktree,props_edge.py,file,True,0.0,0.0,
worktree,conditional_edge.py,file,True,0.0,0.0,
worktree,calibrated_prob_edge.py,file,True,0.0,0.0,
worktree,daily_certify.py,file,True,0.0,0.0,
worktree,daily_refresh.py,file,True,0.0,0.0,
worktree,props_capture_daily.py,file,True,0.0,0.0,
worktree,odds_capture_daily.py,file,True,0.0,0.0,
worktree,injury_capture_daily.py,file,True,0.0,0.0,
worktree,wnba-prediction-engine/,dir,True,0.0,0.0,
worktree,wnba_odds_system/,dir,True,0.0,0.0,
worktree,wnba-odds-aggregator/,dir,True,0.0,0.0,
worktree,leaderboards/,dir,True,0.0,0.0,
