season,kind,player_id,values,teams
2021,ID_WITH_MULTIPLE_NAMES,203400,Skylar Diggins | Skylar Diggins-Smith,PHO
2021,ID_WITH_MULTIPLE_NAMES,1628922,Azura Stevens | Azurá Stevens,CHI
2021,ID_WITH_MULTIPLE_NAMES,1629484,Megan DiLeo | Megan Gustafson,WAS
2021,ID_WITH_MULTIPLE_NAMES,1630043,Bernadett Hatar | Bernadett Határ,IND
2022,ID_WITH_MULTIPLE_NAMES,203400,Skylar Diggins | Skylar Diggins-Smith,PHO
2022,ID_WITH_MULTIPLE_NAMES,1628922,Azura Stevens | Azurá Stevens,CHI
2022,ID_WITH_MULTIPLE_NAMES,1629484,Megan DiLeo | Megan Gustafson,PHO
2022,ID_WITH_MULTIPLE_NAMES,1629546,Marine Johannes | Marine Johannès,NYL
2022,ID_WITH_MULTIPLE_NAMES,1629566,Han Xu | Xu Han,NYL
2022,ID_WITH_MULTIPLE_NAMES,1631263,Nikolina Milic | Nikolina Milić,MIN
2023,ID_WITH_MULTIPLE_NAMES,1628922,Azura Stevens | Azurá Stevens,LAS
2023,ID_WITH_MULTIPLE_NAMES,1629484,Megan DiLeo | Megan Gustafson,PHO
2023,ID_WITH_MULTIPLE_NAMES,1629546,Marine Johannes | Marine Johannès,NYL
2023,ID_WITH_MULTIPLE_NAMES,1629566,Han Xu | Xu Han,NYL
2023,ID_WITH_MULTIPLE_NAMES,1630043,Bernadett Hatar | Bernadett Határ,CON | IND
2023,ID_WITH_MULTIPLE_NAMES,1631021,Sika Kone | Sika Koné,CHI
2023,ID_WITH_MULTIPLE_NAMES,1631263,Nikolina Milic | Nikolina Milić,MIN
2023,ID_WITH_MULTIPLE_NAMES,1641657,Dorka Juhasz | Dorka Juhász,MIN
2024,ID_WITH_MULTIPLE_NAMES,203400,Skylar Diggins | Skylar Diggins-Smith,SEA
2024,ID_WITH_MULTIPLE_NAMES,1628922,Azura Stevens | Azurá Stevens,LAS
2024,ID_WITH_MULTIPLE_NAMES,1629484,Megan DiLeo | Megan Gustafson,LVA
2024,ID_WITH_MULTIPLE_NAMES,1630151,Olivia Epoupa | Olivia Époupa,MIN
2024,ID_WITH_MULTIPLE_NAMES,1631021,Sika Kone | Sika Koné,MIN | WAS
2024,ID_WITH_MULTIPLE_NAMES,1641657,Dorka Juhasz | Dorka Juhász,MIN
2024,ID_WITH_MULTIPLE_NAMES,1641661,Lou Lopez Senechal | Lou Lopez Sénéchal,DAL
2024,ID_WITH_MULTIPLE_NAMES,1642299,Nika Muhl | Nika Mühl,SEA
2026,ID_WITH_MULTIPLE_NAMES,1643490,Eliska Hamzova | Eliska Joklova,MIN
