case,record_idx,slate_date,team,player_id,player_name,last_appearance_for,appeared_for_this_club,n_prior_app_season,trail5_min,in_decision_stratum
ARRIVAL_NOT_YET_DEBUTED,1,2026-07-31,DAL,1641650,Haley Jones,PDX,0,5,11.32,False
ARRIVAL_NOT_YET_DEBUTED,4,2026-07-31,DAL,1641650,Haley Jones,PDX,0,5,11.32,False
ARRIVAL_NOT_YET_DEBUTED,22,2026-08-04,TOR,1642800,Aneesah Morrow,CON,0,20,18.17,False
ARRIVAL_NOT_YET_DEBUTED,23,2026-08-04,TOR,1642800,Aneesah Morrow,CON,0,20,18.17,False
ARRIVAL_NOT_YET_DEBUTED,24,2026-08-04,TOR,1642800,Aneesah Morrow,CON,0,20,18.17,False
ARRIVAL_NOT_YET_DEBUTED,27,2026-08-05,DAL,1641650,Haley Jones,PDX,0,5,11.32,False
ARRIVAL_NOT_YET_DEBUTED,31,2026-08-05,DAL,1641650,Haley Jones,PDX,0,5,11.32,False
ARRIVAL_NOT_YET_DEBUTED,35,2026-08-05,DAL,1641650,Haley Jones,PDX,0,5,11.32,False
ARRIVAL_NOT_YET_DEBUTED,38,2026-08-06,MIN,1631064,Chloe Bibby,CHI,0,4,12.788,False
