season,rows,distinct_player_id,distinct_player_name,names_mapping_to_multiple_ids,ids_mapping_to_multiple_names,partition
2021,4575,159,163,0,4,exploration_2021_2024
2022,5261,168,174,0,6,exploration_2021_2024
2023,5749,164,172,0,8,exploration_2021_2024
2024,5877,157,165,0,8,exploration_2021_2024
2025,7071,184,184,0,0,SEALED_holdout
2026,5666,228,229,0,1,SEALED_holdout
