game_date,pool_n,family,normal_loc,normal_scale,t_df,t_scale,het_b0,het_b1,pool_max_date_used,skew,exkurt
2024-05-14,8333,student_t,-0.09457690380874775,5.513441401492156,8,4.774780315969085,2.4852901534738763,0.19563629924780143,2023-09-10,-0.5886572239883272,1.3122240833770569
2024-05-15,8333,student_t,-0.09457690380874775,5.513441401492156,8,4.774780315969085,2.4852901534738763,0.19563629924780143,2023-09-10,-0.5886572239883272,1.3122240833770569
2024-05-16,8333,student_t,-0.09457690380874775,5.513441401492156,8,4.774780315969085,2.4852901534738763,0.19563629924780143,2023-09-10,-0.5886572239883272,1.3122240833770569
2024-05-17,8347,student_t,-0.08721692907537569,5.51308262269344,8,4.774469604415058,2.4858257639083643,0.19563722901142086,2024-05-16,-0.589800600002973,1.3120512932921384
2024-05-18,8370,student_t,-0.07567395760052197,5.514481938816814,8,4.775681447725825,2.488568203277419,0.19564198959894755,2024-05-17,-0.5906129692384706,1.307496130583405
2024-05-19,8415,student_t,-0.0517998547793321,5.520036258799074,8,4.78049162993121,2.4973682835642514,0.19565726561668356,2024-05-18,-0.5906329667210863,1.2919946547111856
2024-05-20,8428,student_t,-0.045978673721552045,5.519270317098045,8,4.779828304960301,2.4974674285086373,0.19565743772192373,2024-05-19,-0.5916339595301958,1.2923189729366085
2024-05-21,8448,student_t,-0.03929366400019029,5.52019912859785,8,4.780632679314459,2.499803814004209,0.19572117386915683,2024-05-20,-0.5906010928925209,1.2873281202556814
2024-05-22,8483,student_t,-0.02372914386281949,5.523832315496645,8,4.783779111465512,2.504415728760574,0.19582605295960318,2024-05-21,-0.5900801938993825,1.277308447631099
2024-05-23,8494,student_t,-0.022301164714920996,5.52465403022537,8,4.784490737295251,2.5038822622240016,0.19598595727796858,2024-05-22,-0.5902667360154111,1.2759685287422986
2024-05-24,8530,student_t,-0.015853039802923338,5.5250951294694,8,4.784872740446172,2.507953048400389,0.19603175656234986,2024-05-23,-0.588649882031514,1.2679840897233952
2024-05-25,8538,student_t,-0.016657078400045596,5.524907440373194,8,4.7847101969208445,2.5100314248187754,0.19592595154049788,2024-05-24,-0.5878723870117685,1.265907910320844
2024-05-26,8604,student_t,-0.012221214914149263,5.520863822144411,8,4.781208320811512,2.512519464572423,0.19599749288423676,2024-05-25,-0.5873938440439821,1.260659987597335
2024-05-28,8628,student_t,-0.011669024914137524,5.520120905911163,8,4.780564936480636,2.5145324463897403,0.19592237258415024,2024-05-26,-0.5852335818027882,1.2576015261789086
2024-05-29,8661,student_t,-0.007907799544923249,5.5176502509067165,8,4.778425286482798,2.512980321027429,0.19608998633839161,2024-05-28,-0.5886185808637743,1.2666184618666811
2024-05-30,8693,student_t,-0.0024762253817654225,5.514077044353267,8,4.775330798834542,2.513280286223939,0.19606906883222702,2024-05-29,-0.589779643454834,1.268481142426757
2024-05-31,8717,student_t,0.0009893943876789733,5.512472227702162,8,4.773940986846268,2.5116203149773826,0.1963629394098962,2024-05-30,-0.5892033867392991,1.2675724662332515
2024-06-01,8762,student_t,-0.0049362266344425264,5.512521045381338,8,4.773983264196589,2.5141395672577262,0.19625989419945566,2024-05-31,-0.5918007272435141,1.275785047520717
2024-06-02,8771,student_t,-0.003991396773954043,5.511778098428195,8,4.773339853261502,2.51415308236455,0.19630534250836426,2024-06-01,-0.5918553942581645,1.275079576104158
2024-06-04,8820,student_t,-0.000515526511935379,5.504007908708794,8,4.766610671572277,2.5069108841352707,0.19689365086067817,2024-06-02,-0.5917815658801342,1.2813550530430335
2024-06-05,8850,student_t,0.0010925316056400757,5.500368822300677,8,4.763459130296281,2.504741340338252,0.19720646676314574,2024-06-04,-0.5907995650836715,1.2818769387393818
2024-06-06,8875,student_t,0.001955025652508321,5.496450912280782,8,4.76006612068931,2.502478205427408,0.19737860411997016,2024-06-05,-0.5912866862043284,1.2849797387897999
2024-06-07,8901,student_t,-0.00015009959611142118,5.496465939608447,8,4.760079134736819,2.502258265805415,0.19762743627027912,2024-06-06,-0.5917551792274592,1.2824165430375558
2024-06-08,8942,student_t,0.001589548198344573,5.488656216142075,8,4.753315715818409,2.494842060728196,0.19814606874330692,2024-06-07,-0.5927462941625652,1.2903019104446853
2024-06-09,8965,student_t,-0.0009176625588071156,5.486968076685027,8,4.751853744163475,2.492282465577726,0.1985239486584406,2024-06-08,-0.5904691574310365,1.2890431068456882
2024-06-10,9008,student_t,-0.007995427197699925,5.485676871065487,8,4.750735527295444,2.4931127953753607,0.19861793354427676,2024-06-09,-0.5910853229531988,1.2884541647943957
2024-06-11,9021,student_t,-0.009676342927705844,5.483973828430821,8,4.749260649110095,2.492207475483598,0.198715812158166,2024-06-10,-0.5899861425103939,1.2882949905256114
2024-06-12,9067,student_t,-0.015413577533667587,5.479669835626013,8,4.745533282003426,2.4927237736735632,0.19868877347919356,2024-06-11,-0.5887547705470199,1.2865321953523896
2024-06-13,9077,student_t,-0.014681111132592154,5.477978587909996,8,4.744068618517263,2.4907970753265265,0.1988665270762227,2024-06-12,-0.58864444050319,1.2881869975071254
2024-06-14,9106,student_t,-0.017038816245228454,5.473373371396596,8,4.740080384026731,2.4886890806108033,0.19897107689288596,2024-06-13,-0.5879586042442043,1.2898333390877994
