game_id,season,period,clock_seconds_remaining,player1_id,event_team_id,offense_team_id,defense_team_id,is_orb,off_mean_height,def_mean_height,off_minus_def_height,off_p1,off_p2,off_p3,off_p4,off_p5,def_p1,def_p2,def_p3,def_p4,def_p5
1022400017,2024,1,600.0,1629480,1611661321,1611661321,1611661330,1,74.2,74.2,0.0,1628881,1629480,1629481,1641654,1642244,202250,204323,1628277,1631009,1641650
1022300136,2023,1,594.0,1629477,1611661313,1611661313,1611661328,1,73.0,72.6,0.4000000000000057,202664,204335,1627668,1627673,1629477,204319,1628244,1628931,1629496,1641675
1022200082,2022,1,592.0,1631019,1611661325,1611661325,1611661324,1,72.4,72.2,0.20000000000000284,202658,1628909,1628927,1631019,1631031,203024,1627669,1627672,1629491,1629524
1022200094,2022,1,591.0,1631022,1611661322,1611661322,1611661323,1,72.4,72.8,-0.3999999999999915,202252,203399,204333,1628878,1631022,201886,203826,1627673,1627675,1629567
1022200130,2022,1,591.0,203826,1611661323,1611661323,1611661321,1,72.8,71.8,1.0,201886,203826,1627673,1627675,1629567,203866,204330,1628277,1629481,1629497
1022200182,2022,1,591.0,100940,1611661317,1611661317,1611661323,1,71.2,72.8,-1.5999999999999943,100940,203035,203400,1629482,1629488,201886,203826,1627673,1627675,1629567
1022300045,2023,2,591.0,1628279,1611661322,1611661322,1611661328,1,71.6,72.6,-1.0,201911,203399,203403,1628278,1628279,1629496,1630441,1631141,1641602,1641651
1022300123,2023,2,591.0,1630386,1611661321,1611661321,1611661313,1,73.6,72.0,1.5999999999999943,203824,1629480,1630386,1631007,1641652,202664,203866,1627673,1629477,1629546
1022300173,2023,3,591.0,1628244,1611661328,1611661328,1611661330,1,73.2,72.8,0.4000000000000057,204319,1628244,1629496,1641651,1641675,202658,204323,1628269,1628277,1631009
1022300209,2023,1,591.0,1627673,1611661313,1611661313,1611661319,1,73.0,72.4,0.5999999999999943,202664,204335,1627668,1627673,1629477,203833,204329,1628276,1628932,1629498
1022100047,2021,1,590.0,1628932,1611661319,1611661319,1611661322,1,73.2,71.2,2.0,202633,203029,203833,1628932,1629498,201919,202250,204333,1628878,1628899
1022100064,2021,1,590.0,203398,1611661317,1611661317,1611661313,1,74.0,72.8,1.2000000000000028,203398,203400,1628915,1629488,1630136,204296,204335,1628244,1630131,1630446
1022200188,2022,1,590.0,1629491,1611661324,1611661324,1611661328,1,72.4,72.4,0.0,201480,203825,1627669,1627672,1629491,100720,202250,204319,1627668,1628931
1022400045,2024,1,590.0,202250,1611661330,1611661330,1611661323,1,74.2,73.2,1.0,202250,204323,1628277,1631009,1641650,201886,203826,1628280,1630096,1630112
1022400165,2024,4,590.0,202250,1611661330,1611661330,1611661317,1,73.6,74.4,-0.8000000000000114,202250,1628277,1630471,1631032,1641650,100940,203398,204333,1628881,1629482
1022400191,2024,2,590.0,1628890,1611661329,1611661329,1611661324,1,72.2,73.0,-0.7999999999999972,204330,1628263,1628890,1630389,1642289,1628508,1629483,1629524,1629567,1641657
1042200304,2022,1,590.0,201886,1611661323,1611661323,1611661319,1,72.8,72.4,0.3999999999999915,201886,203826,1627673,1627675,1629567,203833,204329,1628276,1628932,1629498
1022100145,2021,1,589.0,1630446,1611661313,1611661313,1611661317,1,72.6,73.8,-1.2000000000000028,203827,204296,204335,1629477,1630446,100940,203398,203400,1628915,1629488
1022200117,2022,2,589.0,1631019,1611661325,1611661325,1611661317,1,71.4,72.2,-0.7999999999999972,1628909,1628927,1631019,1631083,1631089,100940,203400,204334,1628890,1629482
1022200178,2022,4,589.0,203400,1611661317,1611661317,1611661313,1,71.2,72.2,-1.0,100940,203035,203400,1629482,1629488,203827,203828,204296,1629477,1630101
1022200206,2022,1,589.0,203826,1611661323,1611661323,1611661320,1,72.8,72.2,0.5999999999999943,201886,203826,1627673,1627675,1629567,203014,1628279,1628886,1629478,1631135
1022300136,2023,1,589.0,1629496,1611661328,1611661328,1611661313,1,72.6,73.0,-0.4000000000000057,204319,1628244,1628931,1629496,1641675,202664,204335,1627668,1627673,1629477
1022300196,2023,1,589.0,1629491,1611661324,1611661324,1611661321,1,72.8,72.4,0.3999999999999915,203825,1627676,1629483,1629491,1641649,203827,1629479,1629481,1630101,1630149
