game_id,season,game_date,player_id,player_name,team_id,opp_team_id,position,position_raw,minutes,height_inches,opp_roster_mean_height,opp_rotation_mean_height,rung1_height_diff,rung2_height_diff,offensive_rebound_percentage,defensive_rebound_percentage,own_recent_oreb_pct,own_recent_dreb_pct
1022100006,2021,2021-05-15,100720,Sue Bird,1611661328,1611661319,G,Guard,26.1,69.0,72.7021495762608,72.66246022451708,-3.702149576260794,-3.6624602245170763,0.0,0.179,,
1022100011,2021,2021-05-18,100720,Sue Bird,1611661328,1611661319,G,Guard,25.333333333333332,69.0,72.7021495762608,72.66246022451708,-3.702149576260794,-3.6624602245170763,0.0,0.0,,
1022100014,2021,2021-05-20,100720,Sue Bird,1611661328,1611661324,G,Guard,31.45,69.0,72.3981323448696,72.21947958596895,-3.3981323448695946,-3.219479585968955,0.04,0.111,,
1022100019,2021,2021-05-22,100720,Sue Bird,1611661328,1611661321,G,Guard,31.216666666666665,69.0,71.9100405511752,71.21492339191161,-2.9100405511752,-2.2149233919116114,0.0,0.118,0.015218332586455533,0.09384256677811495
1022100026,2021,2021-05-25,100720,Sue Bird,1611661328,1611661323,G,Guard,36.166666666666664,69.0,72.8549625117579,72.83889875622441,-3.854962511757904,-3.8388987562244097,0.0,0.1,0.010590115097501789,0.10118935423269251
1022100031,2021,2021-05-28,100720,Sue Bird,1611661328,1611661324,G,Guard,18.7,69.0,72.3981323448696,72.21947958596895,-3.3981323448695946,-3.219479585968955,0.077,0.095,0.007848346229500152,0.10088143176176569
1022100041,2021,2021-06-01,100720,Sue Bird,1611661328,1611661325,G,Guard,27.483333333333334,69.0,72.03979625318354,71.83161518114402,-3.039796253183539,-2.8316151811440164,0.0,0.032,0.023699684654806995,0.09953325626345434
1022100046,2021,2021-06-04,100720,Sue Bird,1611661328,1611661321,G,Guard,33.28333333333333,69.0,71.9100405511752,71.21492339191161,-2.9100405511752,-2.2149233919116114,0.036,0.047,0.01875997320760735,0.0854573390565311
1022100051,2021,2021-06-06,100720,Sue Bird,1611661328,1611661321,G,Guard,28.783333333333335,69.0,71.9100405511752,71.21492339191161,-2.9100405511752,-2.2149233919116114,0.0,0.219,0.022090274783208637,0.07802843315077504
1022100053,2021,2021-06-09,100720,Sue Bird,1611661328,1611661330,G,Guard,24.016666666666666,69.0,71.35564030810654,71.054794735291,-2.355640308106544,-2.054794735290997,0.045,0.03,0.018078670283443805,0.10362893733015795
1022100057,2021,2021-06-11,100720,Sue Bird,1611661328,1611661330,G,Guard,27.266666666666666,69.0,71.35564030810654,71.054794735291,-2.355640308106544,-2.054794735290997,0.0,0.083,0.022725271572947153,0.09092063804683272
1022100061,2021,2021-06-13,100720,Sue Bird,1611661328,1611661323,G,Guard,23.083333333333332,69.0,72.8549625117579,72.83889875622441,-3.854962511757904,-3.8388987562244097,0.0,0.048,0.01896515508784546,0.08961009169772446
1022100065,2021,2021-06-15,100720,Sue Bird,1611661328,1611661325,G,Guard,26.15,69.0,72.03979625318354,71.83161518114402,-3.039796253183539,-2.8316151811440164,0.0,0.111,0.01593625770135101,0.08296460435995917
1022100069,2021,2021-06-17,100720,Sue Bird,1611661328,1611661325,G,Guard,31.8,69.0,72.03979625318354,71.83161518114402,-3.039796253183539,-2.8316151811440164,0.0,0.034,0.013465853359809325,0.0873105910027407
