player1_id,season,reb_count
100720,2021,80
100720,2022,72
100940,2021,106
100940,2022,106
100940,2023,93
100940,2024,143
200676,2021,78
201480,2021,320
201480,2022,294
201496,2021,277
201496,2022,361
201496,2023,97
201507,2021,61
201516,2021,98
201516,2022,111
201881,2022,6
201886,2021,233
201886,2022,225
201886,2023,282
201886,2024,293
201896,2021,49
201896,2022,39
201911,2021,27
201911,2022,8
201911,2023,8
201913,2021,100
201913,2022,93
201919,2021,66
202250,2021,258
202250,2022,302
202250,2024,387
202252,2022,138
202252,2023,173
202252,2024,168
202259,2021,47
202259,2022,34
202259,2023,6
202633,2021,233
202633,2022,160
202638,2021,163
202641,2022,12
202641,2023,15
202641,2024,14
202650,2021,105
202650,2022,89
202658,2021,85
202658,2022,89
202658,2023,72
202662,2021,86
202662,2022,11
202662,2023,34
202664,2021,163
202664,2022,155
202664,2023,175
202664,2024,107
203014,2021,117
203014,2022,225
203014,2023,316
203014,2024,300
203015,2021,22
203024,2021,97
203024,2022,57
203024,2024,45
203026,2021,67
203026,2022,40
203026,2023,144
203026,2024,113
203029,2021,91
203029,2022,69
203035,2021,114
203035,2022,130
203035,2023,33
203389,2022,20
203389,2023,23
203398,2021,376
203398,2023,195
203398,2024,208
203399,2021,13
203399,2022,163
203399,2023,134
203400,2021,141
203400,2022,121
203400,2024,109
203403,2021,87
203403,2022,59
203403,2023,208
203406,2021,66
203406,2023,73
203406,2024,38
203416,2022,232
203822,2022,141
203822,2023,11
203823,2021,29
203823,2022,142
203823,2023,43
203824,2021,75
203824,2022,31
203824,2023,42
203824,2024,51
203825,2021,122
203825,2022,87
203825,2023,140
203825,2024,127
203826,2021,34
203826,2022,408
203826,2023,450
203826,2024,392
203827,2021,104
203827,2022,276
203827,2023,355
203827,2024,182
203828,2021,113
203828,2022,183
203828,2023,50
203828,2024,193
203829,2021,18
203829,2022,12
203831,2021,47
203831,2022,90
203833,2021,108
203833,2022,150
203833,2023,196
203833,2024,95
203838,2021,109
203838,2024,18
203849,2021,135
203849,2022,85
203855,2021,90
203855,2022,133
203855,2024,101
203866,2021,175
203866,2022,225
203866,2023,156
203866,2024,120
204296,2021,96
204296,2022,93
204296,2023,146
204296,2024,71
204297,2023,63
204319,2021,128
204319,2022,109
204319,2023,178
204319,2024,173
204320,2021,154
204320,2023,38
204322,2021,158
204322,2022,117
204322,2023,252
204322,2024,63
204323,2021,58
204323,2022,222
204323,2023,280
204323,2024,121
204324,2021,217
204324,2022,249
204324,2023,236
204324,2024,368
204325,2021,91
204327,2021,2
204329,2021,143
204329,2022,207
204329,2023,297
204329,2024,203
204330,2021,175
204330,2022,155
204330,2024,141
204332,2021,20
204333,2021,98
204333,2022,134
204333,2023,152
204333,2024,165
204334,2021,55
204334,2022,55
204335,2021,136
204335,2022,42
204335,2023,171
204335,2024,150
204355,2021,14
204365,2021,98
204365,2022,93
204365,2023,120
204365,2024,53
1627643,2023,12
1627668,2021,267
