player1_id,season,reb_count
1627668,2022,314
1627668,2023,473
1627668,2024,427
1627669,2021,60
1627669,2022,75
1627669,2023,77
1627669,2024,9
1627671,2021,34
1627671,2022,48
1627671,2023,37
1627671,2024,53
1627672,2021,56
1627672,2022,164
1627672,2023,39
1627672,2024,56
1627673,2021,342
1627673,2022,384
1627673,2023,452
1627673,2024,440
1627674,2021,186
1627674,2022,206
1627674,2023,182
1627674,2024,177
1627675,2021,219
1627675,2022,203
1627675,2023,257
1627675,2024,235
1627676,2021,80
1627676,2022,41
1627676,2023,86
1627676,2024,37
1627678,2021,49
1627687,2021,4
1627700,2022,43
1627701,2024,115
1628242,2021,74
1628242,2022,75
1628242,2023,94
1628242,2024,2
1628244,2021,156
1628244,2022,83
1628244,2023,114
1628244,2024,74
1628263,2021,48
1628263,2022,14
1628263,2023,71
1628263,2024,80
1628268,2022,16
1628268,2023,15
1628269,2021,122
1628269,2022,83
1628269,2023,150
1628269,2024,99
1628273,2022,16
1628273,2024,4
1628276,2021,76
1628276,2022,135
1628276,2023,124
1628276,2024,113
1628277,2021,136
1628277,2022,170
1628277,2023,200
1628277,2024,183
1628278,2021,24
1628278,2022,64
1628278,2023,85
1628278,2024,69
1628279,2021,146
1628279,2022,117
1628279,2023,214
1628279,2024,73
1628280,2021,251
1628280,2022,233
1628280,2023,106
1628280,2024,246
1628282,2021,36
1628286,2021,99
1628287,2022,57
1628287,2023,13
1628304,2022,9
1628317,2021,26
1628317,2022,3
1628317,2023,101
1628317,2024,74
1628508,2024,59
1628878,2021,83
1628878,2022,120
1628878,2023,94
1628878,2024,135
1628881,2021,200
1628881,2022,146
1628881,2023,208
1628881,2024,220
1628882,2021,14
1628882,2022,78
1628882,2023,25
1628882,2024,37
1628886,2021,67
1628886,2022,73
1628886,2023,116
1628886,2024,71
1628890,2021,139
1628890,2022,124
1628890,2024,46
1628897,2021,1
1628897,2023,9
1628899,2021,126
1628899,2022,186
1628899,2023,166
1628899,2024,220
1628909,2021,84
1628909,2022,60
1628909,2023,65
1628909,2024,105
1628915,2021,133
1628915,2023,91
1628915,2024,64
1628917,2021,47
1628920,2021,196
1628920,2022,9
1628920,2023,149
1628920,2024,124
1628922,2021,206
1628922,2022,167
1628922,2023,207
1628922,2024,140
1628927,2021,95
1628927,2022,125
1628927,2023,119
1628927,2024,69
1628929,2022,68
1628929,2023,82
1628929,2024,48
1628931,2022,195
1628931,2023,36
1628931,2024,61
1628932,2021,344
1628932,2022,443
1628932,2023,486
1628932,2024,509
1629476,2022,30
1629476,2023,38
1629477,2021,176
1629477,2022,272
1629477,2023,242
1629477,2024,227
1629478,2021,99
1629478,2022,95
1629478,2024,85
1629479,2021,308
1629479,2022,260
1629479,2023,335
1629479,2024,314
1629480,2021,1
1629480,2023,154
1629480,2024,119
1629481,2021,105
1629481,2022,98
1629481,2023,159
1629481,2024,173
1629482,2021,77
1629482,2022,128
1629482,2023,88
1629482,2024,166
1629483,2021,196
1629483,2022,12
1629483,2023,337
1629483,2024,437
1629484,2021,40
1629484,2022,73
1629484,2023,131
1629484,2024,75
1629485,2021,33
1629485,2022,13
1629485,2023,22
1629488,2021,411
1629488,2022,261
1629488,2023,253
1629488,2024,53
1629491,2021,71
1629491,2022,266
1629491,2023,149
1629492,2021,79
1629492,2022,59
1629496,2021,124
1629496,2022,200
1629496,2023,322
1629496,2024,303
1629497,2021,127
1629497,2022,136
1629497,2023,153
1629497,2024,195
1629498,2021,147
1629498,2022,189
1629498,2023,210
1629498,2024,196
1629501,2021,34
1629501,2022,24
1629501,2023,258
1629501,2024,282
1629506,2021,20
1629524,2021,74
1629524,2022,77
1629524,2023,100
1629524,2024,192
1629546,2022,47
1629546,2023,56
1629566,2022,123
1629566,2023,7
1629567,2021,61
1629567,2022,88
1629567,2023,97
1629567,2024,78
1629568,2021,22
1629568,2022,35
1629568,2024,68
1629571,2023,47
1629571,2024,17
1629574,2022,24
1629574,2024,140
1630043,2021,18
1630043,2023,9
1630093,2021,105
1630096,2021,47
1630096,2022,144
1630096,2023,106
1630096,2024,239
1630097,2021,96
1630097,2023,5
1630099,2021,53
1630100,2021,77
1630101,2021,62
1630101,2022,67
1630101,2023,108
1630101,2024,34
1630110,2021,2
1630112,2021,51
1630112,2022,39
1630112,2023,41
1630112,2024,73
1630113,2021,133
1630113,2022,46
1630113,2023,48
1630114,2024,45
1630115,2021,4
1630115,2022,44
1630115,2023,84
1630115,2024,49
1630118,2021,3
1630119,2021,66
1630119,2022,2
1630120,2021,22
1630120,2022,2
1630127,2021,21
1630131,2021,121
1630134,2023,102
1630134,2024,28
1630136,2021,43
1630136,2022,9
1630137,2021,22
1630139,2022,19
1630139,2023,24
1630142,2024,163
1630149,2021,104
1630149,2022,57
1630149,2023,334
1630149,2024,96
1630150,2021,14
1630150,2022,45
1630150,2024,117
1630151,2024,19
1630154,2022,5
1630385,2021,3
1630386,2021,42
1630386,2022,88
1630386,2023,101
1630387,2022,42
1630387,2023,42
1630389,2021,16
1630389,2022,30
1630389,2023,48
1630389,2024,43
1630435,2021,19
1630435,2022,4
1630437,2021,6
1630438,2021,19
1630438,2024,2
1630440,2021,3
1630441,2021,33
1630441,2023,6
1630442,2021,4
1630442,2024,206
1630444,2021,2
1630444,2022,48
1630446,2021,94
1630446,2022,74
1630446,2023,147
1630446,2024,62
1630452,2022,8
1630454,2021,102
1630454,2022,10
1630458,2021,12
1630459,2021,35
1630459,2022,27
1630459,2024,29
1630461,2021,4
1630461,2022,2
1630461,2024,2
1630462,2021,49
1630462,2022,81
1630462,2023,50
1630462,2024,52
1630471,2022,22
1630471,2023,27
1630471,2024,48
1630479,2022,2
1630957,2022,41
1630993,2022,7
1630996,2022,3
1630996,2023,36
1630996,2024,68
1631002,2022,25
1631002,2023,2
1631006,2022,24
1631006,2023,62
1631006,2024,6
1631007,2022,61
1631007,2023,76
1631007,2024,52
1631009,2022,154
1631009,2023,200
1631009,2024,142
1631013,2022,14
1631019,2022,253
1631019,2023,285
1631019,2024,289
1631021,2023,60
1631021,2024,55
1631022,2022,247
1631022,2023,133
1631022,2024,82
1631029,2022,12
1631029,2023,11
1631031,2022,209
1631031,2023,159
1631031,2024,11
1631032,2022,23
1631032,2023,7
1631032,2024,46
1631044,2022,172
1631044,2023,141
1631044,2024,206
1631055,2023,70
1631055,2024,136
1631056,2022,2
1631056,2024,6
1631062,2022,8
1631068,2022,5
1631068,2023,1
1631072,2022,5
1631081,2022,2
1631083,2022,181
1631083,2023,29
1631083,2024,128
1631086,2022,40
1631086,2023,82
1631086,2024,93
1631089,2022,57
1631089,2023,12
1631089,2024,12
1631091,2022,20
1631091,2023,17
1631135,2022,89
1631135,2023,168
1631135,2024,114
1631141,2023,34
1631141,2024,55
1631147,2022,9
1631263,2022,93
1631263,2023,97
1641602,2023,40
1641602,2024,22
1641641,2023,63
1641642,2023,36
1641648,2023,335
1641648,2024,385
1641649,2023,117
1641649,2024,37
1641650,2023,94
1641650,2024,90
1641651,2023,182
1641651,2024,173
1641652,2023,65
1641652,2024,90
1641653,2023,11
1641654,2024,47
1641656,2023,20
1641656,2024,32
1641657,2023,261
1641657,2024,138
1641658,2023,56
1641658,2024,15
1641659,2023,2
1641660,2023,37
1641660,2024,18
1641661,2024,11
1641665,2023,22
1641667,2023,8
1641667,2024,1
1641670,2023,5
1641671,2023,4
1641672,2023,1
1641675,2023,149
1641675,2024,9
1641687,2023,10
1641687,2024,3
1641690,2023,62
1641698,2024,1
1641700,2023,15
1641700,2024,41
1642210,2024,65
1642240,2024,21
1642244,2024,65
1642286,2024,237
1642287,2024,80
1642288,2024,155
1642289,2024,254
1642290,2024,191
1642291,2024,446
1642292,2024,82
1642293,2024,27
1642294,2024,1
1642298,2024,30
1642299,2024,10
1642301,2024,12
1642309,2024,1
1642320,2024,4
1642324,2024,54
1642534,2024,1
1611661313,2021,229
1611661313,2022,272
1611661313,2023,342
1611661313,2024,365
1611661317,2021,292
1611661317,2022,285
1611661317,2023,301
1611661317,2024,329
1611661319,2021,256
1611661319,2022,303
1611661319,2023,325
1611661319,2024,311
1611661320,2021,236
1611661320,2022,258
1611661320,2023,315
1611661320,2024,362
1611661321,2021,241
1611661321,2022,328
1611661321,2023,380
1611661321,2024,328
1611661322,2021,223
1611661322,2022,258
1611661322,2023,286
1611661322,2024,300
1611661323,2021,308
1611661323,2022,391
1611661323,2023,399
1611661323,2024,399
1611661324,2021,243
1611661324,2022,260
1611661324,2023,296
1611661324,2024,353
1611661325,2021,266
1611661325,2022,312
1611661325,2023,326
1611661325,2024,328
1611661328,2021,197
1611661328,2022,262
1611661328,2023,303
1611661328,2024,322
1611661329,2021,272
1611661329,2022,280
1611661329,2023,322
1611661329,2024,340
1611661330,2021,235
1611661330,2022,298
1611661330,2023,344
1611661330,2024,364
