arm,target,n_scoreable,pooled_skill_pct,loss_champion,loss_reference,metric
cbs_v15_player_oof_v5,player_scoring_distribution,14262,-2.3264,4.2374,4.14106,MAE
cbs_v15_player_oof_v5,e_minutes_given_active,14262,0.8788,5.18097,5.2269,MAE
cbs_v15_player_oof_v5,attempts_usage,14262,-2.4517,2.68981,2.62544,MAE
cbs_v15_player_oof_v5,p_active,18192,42.0859,0.09199,0.15885,Brier
cbs_v14_player_oof,player_scoring_distribution,13879,-2.099,4.25799,4.17045,MAE
cbs_v14_player_oof,e_minutes_given_active,13879,0.8279,5.21177,5.25527,MAE
cbs_v14_player_oof,attempts_usage,13879,-2.1334,2.6864,2.63029,MAE
cbs_v14_player_oof,p_active,17809,22.0592,0.09533,0.12231,Brier
