arm,target,n_rows,n_distinct_pred_sd,pred_sd_null_share,distinct_sd_per_season,n_distinct_interval_width,corr_sd_absresid_all,corr_sd_absresid_nonfallback,cov90
cbs_v15_player_oof_v5,player_scoring_distribution,21617,3,0.0,"{""2022"": 1, ""2023"": 1, ""2024"": 1}",6519,-0.008851350621705705,-0.00987149214032008,0.8767
cbs_v15_player_oof_v5,e_minutes_given_active,21617,3,0.0,"{""2022"": 1, ""2023"": 1, ""2024"": 1}",1912,-0.0064141782387257115,0.0004472137502055909,0.8674
cbs_v15_player_oof_v5,attempts_usage,21617,3,0.0,"{""2022"": 1, ""2023"": 1, ""2024"": 1}",4550,0.00016523864836522648,-0.0019458998947918876,0.8655
cbs_v15_player_oof_v5,p_active,21617,0,1.0,"{""2022"": 0, ""2023"": 0, ""2024"": 0}",0,,,
cbs_v14_player_oof,player_scoring_distribution,17809,3,0.0,"{""2022"": 1, ""2023"": 1, ""2024"": 1}",6316,-0.012232354033056588,-0.01082028968068049,0.8754
cbs_v14_player_oof,e_minutes_given_active,17809,3,0.0,"{""2022"": 1, ""2023"": 1, ""2024"": 1}",1836,-0.007958083596766773,1.1756438313588115e-05,0.8654
cbs_v14_player_oof,attempts_usage,17809,3,0.0,"{""2022"": 1, ""2023"": 1, ""2024"": 1}",4396,-0.0034765758747438286,-0.0033041784399425525,0.8671
cbs_v14_player_oof,p_active,17809,0,1.0,"{""2022"": 0, ""2023"": 0, ""2024"": 0}",0,,,
