rank,arm,target,region,definition,known,n_rows,row_share,n_scoreable,loss_champion_in_region,loss_baseline_in_region,loss_reference_in_region,champion_vs_baseline_pct,champion_vs_reference_pct,pooled_skill_before_pct,pooled_skill_after_pct,routing_gain_pct,routing_gain_worst_over_grid_pct,routing_gain_best_over_grid_pct,fragile,paired_p,paired_n_blocks
1,cbs_v14_player_oof,e_minutes_given_active,R1_is_fallback,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,2459,0.13808,1419,9.747085238540198,6.953727548608059,6.571072685345002,40.17065193316771,48.333243372553646,0.8278615357800057,6.2623083876760415,5.434446851896036,0.7368194659368332,6.817482911718342,False,0.000249937515621,475
2,cbs_v15_player_oof_v5,e_minutes_given_active,R1_is_fallback,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,5378,0.24879,1430,9.539166065734792,6.721533605773846,6.2376948559415,41.91948780172101,52.92774472044892,0.8787696718162485,6.283769141283857,5.404999469467608,0.7252305011712923,6.637486873667708,False,0.000249937515621,476
3,cbs_v15_player_oof_v5,e_minutes_given_active,R7_fb_or_fit_ineligible,is_fallback OR fit_eligible == False  (DISJOINT UNION),combined,5730,0.26507,1444,9.510294465964686,6.722118429549235,6.240784147381701,41.477639313213,52.38941519800353,0.8787696718162485,6.279626439505792,5.400856767689543,0.6998323208768253,6.638700247044438,False,0.000249937515621,476
4,cbs_v14_player_oof,e_minutes_given_active,R3_fallback_level_2,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1409,0.07912,939,9.828946477180844,6.012869951533895,5.197633416163768,63.46514320791954,89.10426515680132,0.8278615357800057,5.740661340105446,4.912799804325441,0.7067136872189073,6.003202723823097,False,0.000249937515621,467
5,cbs_v15_player_oof_v5,e_minutes_given_active,R3_fallback_level_2,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1815,0.08396,952,9.68825481475854,5.845895868832827,5.147849556489263,65.72746131882208,88.2000378691282,0.8787696718162485,5.785703011000221,4.906933339183972,0.684880211753014,5.786918534132335,False,0.000249937515621,470
6,cbs_v15_player_oof_v5,attempts_usage,R1_is_fallback,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,5378,0.24879,1430,4.52298285071431,3.3429959792024504,3.202632182581222,35.29728659121432,41.22704678090528,-2.451696318506613,2.05471643762426,4.506412756130873,0.6778852929043788,5.777603944577836,False,0.000249937515621,476
7,cbs_v14_player_oof,attempts_usage,R1_is_fallback,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,2459,0.13808,1419,4.418102985804823,3.260357877260064,3.220689590439193,35.50975543573467,37.17878925433305,-2.1334435786053207,2.366782758768271,4.500226337373592,0.69310701208527,5.512966674276898,False,0.000249937515621,475
8,cbs_v15_player_oof_v5,attempts_usage,R7_fb_or_fit_ineligible,is_fallback OR fit_eligible == False  (DISJOINT UNION),combined,5730,0.26507,1444,4.501869851671261,3.3355676857843477,3.1954625523632627,34.96562731607893,40.88319853230076,-2.451696318506613,2.0460611159272117,4.497757434433824,0.6402661125090692,5.774065134363127,False,0.000249937515621,476
9,cbs_v15_player_oof_v5,attempts_usage,R3_fallback_level_2,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1815,0.08396,952,4.48629659396153,2.9284627658606874,2.6925770308123247,53.19629965119221,66.61720510213433,-2.451696318506613,1.509039111990429,3.960735430497042,0.6522043372927611,4.705237973918464,False,0.000249937515621,470
10,cbs_v14_player_oof,attempts_usage,R3_fallback_level_2,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1409,0.07912,939,4.409654087250531,2.8729049363919987,2.735001774937877,53.49112431086886,61.23039215763184,-2.1334435786053207,1.8193813598840205,3.952824938489341,0.6296895750798948,4.6205476889675134,False,0.000249937515621,467
