arm,target,condition,n_rows,n_distinct_pred,mean_pred,sd_pred,sd_truth
cbs_v15_player_oof_v5,player_scoring_distribution,n_prior_appearances < 3,5378,3,8.7061,0.0138,7.1926
cbs_v15_player_oof_v5,player_scoring_distribution,is_fallback,5378,3,8.7061,0.0138,7.1926
cbs_v15_player_oof_v5,player_scoring_distribution,is_cold_start,3563,3,8.7063,0.014,6.7732
cbs_v14_player_oof,player_scoring_distribution,n_prior_appearances < 3,2459,3,8.7039,0.0129,7.2391
cbs_v14_player_oof,player_scoring_distribution,is_fallback,2459,3,8.7039,0.0129,7.2391
cbs_v14_player_oof,player_scoring_distribution,is_cold_start,1050,3,8.7028,0.013,7.1984
cbs_v15_player_oof_v5,e_minutes_given_active,n_prior_appearances < 3,5378,3,21.6056,0.0878,10.9092
cbs_v15_player_oof_v5,e_minutes_given_active,is_fallback,5378,3,21.6056,0.0878,10.9092
cbs_v15_player_oof_v5,e_minutes_given_active,is_cold_start,3563,3,21.6013,0.0858,10.4831
cbs_v14_player_oof,e_minutes_given_active,n_prior_appearances < 3,2459,3,21.625,0.0896,11.0926
cbs_v14_player_oof,e_minutes_given_active,is_fallback,2459,3,21.625,0.0896,11.0926
cbs_v14_player_oof,e_minutes_given_active,is_cold_start,1050,3,21.6223,0.0852,10.8779
cbs_v15_player_oof_v5,attempts_usage,n_prior_appearances < 3,5378,3,7.3146,0.036,5.3241
cbs_v15_player_oof_v5,attempts_usage,is_fallback,5378,3,7.3146,0.036,5.3241
cbs_v15_player_oof_v5,attempts_usage,is_cold_start,3563,3,7.3128,0.0351,5.3368
cbs_v14_player_oof,attempts_usage,n_prior_appearances < 3,2459,3,7.3225,0.037,5.2253
cbs_v14_player_oof,attempts_usage,is_fallback,2459,3,7.3225,0.037,5.2253
cbs_v14_player_oof,attempts_usage,is_cold_start,1050,3,7.3211,0.0352,5.2195
