arm,A,B,nA,nB,n_both,share_of_A_inside_B,share_of_B_inside_A
cbs_v15_player_oof_v5,R1_is_fallback,R2_is_cold_start,5378,3563,3563,0.6625,1.0
cbs_v15_player_oof_v5,R1_is_fallback,R3_fallback_level_2,5378,1815,1815,0.3375,1.0
cbs_v15_player_oof_v5,R1_is_fallback,R4_tip_time_quality_null,5378,1071,1071,0.1991,1.0
cbs_v15_player_oof_v5,R1_is_fallback,R6_fit_ineligible,5378,3808,3456,0.6426,0.9076
cbs_v15_player_oof_v5,R2_is_cold_start,R3_fallback_level_2,3563,1815,0,0.0,0.0
cbs_v15_player_oof_v5,R2_is_cold_start,R4_tip_time_quality_null,3563,1071,1071,0.3006,1.0
cbs_v15_player_oof_v5,R2_is_cold_start,R6_fit_ineligible,3563,3808,2983,0.8372,0.7834
cbs_v15_player_oof_v5,R3_fallback_level_2,R4_tip_time_quality_null,1815,1071,0,0.0,0.0
cbs_v15_player_oof_v5,R3_fallback_level_2,R6_fit_ineligible,1815,3808,473,0.2606,0.1242
cbs_v15_player_oof_v5,R4_tip_time_quality_null,R6_fit_ineligible,1071,3808,1071,1.0,0.2812
cbs_v14_player_oof,R1_is_fallback,R2_is_cold_start,2459,1050,1050,0.427,1.0
cbs_v14_player_oof,R1_is_fallback,R3_fallback_level_2,2459,1409,1409,0.573,1.0
cbs_v14_player_oof,R1_is_fallback,R4_tip_time_quality_null,2459,0,0,0.0,0.0
cbs_v14_player_oof,R1_is_fallback,R6_fit_ineligible,2459,0,0,0.0,0.0
cbs_v14_player_oof,R2_is_cold_start,R3_fallback_level_2,1050,1409,0,0.0,0.0
cbs_v14_player_oof,R2_is_cold_start,R4_tip_time_quality_null,1050,0,0,0.0,0.0
cbs_v14_player_oof,R2_is_cold_start,R6_fit_ineligible,1050,0,0,0.0,0.0
cbs_v14_player_oof,R3_fallback_level_2,R4_tip_time_quality_null,1409,0,0,0.0,0.0
cbs_v14_player_oof,R3_fallback_level_2,R6_fit_ineligible,1409,0,0,0.0,0.0
cbs_v14_player_oof,R4_tip_time_quality_null,R6_fit_ineligible,0,0,0,0.0,0.0
