arm,target,season,partition,cell,n_rows,n_scoreable,n_distinct_pred,sd_pred,sd_truth,sd_ratio,top1_share,top1_value,D1_flag,D2_flag,D3_flag,D4_flag,D5_flag,D6_flag,any_flag,top2_share,share_at_cell_min,share_at_cell_max,share_at_zero,share_at_one,dup_cluster_size,n_distinct_pred_vectors,dup_cluster_players,dup_cluster_games,dup_cluster_seasons,n_distinct_pred_sd,sd_null_share,sd_zero_share,corr_sd_absresid,modal_value,modal_share,modal_n_seasons,q_cross_rows,point_outside_interval_rows,cov90,cov50,quantiles_present
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P01_global,ALL,21617,14262,12553,5.201091972579243,7.5675550316544475,0.6872882920340204,0.10191053337650922,8.722116603,False,False,True,True,True,False,True,0.18582597030115186,0.006245084886894574,9.251977610214184e-05,0.006245084886894574,0.0,2203,12555,275,171,1,3,0.0,0.0,-0.008851350621705705,8.722116603,0.10191053337650922,1,0,0,0.8766652643388024,0.4727247230402468,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P02_is_fallback,False,16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,False,False,True,True,False,False,True,0.010961266087813289,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,70,12552,11,66,1,3,0.0,0.0,-0.00987149214032008,0.0,0.00831331978570109,3,0,0,0.8964307980049875,0.4972724438902743,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P02_is_fallback,True,5378,1430,3,0.013819753702120522,7.192645430367219,0.0019213728573041807,0.4096318333953142,8.722116603,True,True,True,True,True,True,True,0.746931944960952,0.3373001115656378,0.4096318333953142,0.0,0.0,2203,3,275,171,1,3,0.0,0.0,-0.019579746092564725,8.722116603,0.4096318333953142,1,0,0,0.6993006993006993,0.25244755244755246,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P03_fallback_level,0,16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,False,False,True,True,False,False,True,0.010961266087813289,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,70,12552,11,66,1,3,0.0,0.0,-0.00987149214032008,0.0,0.00831331978570109,3,0,0,0.8964307980049875,0.4972724438902743,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P03_fallback_level,2,1815,952,3,0.013445247357224407,7.394381676218813,0.0018183058362358923,0.3840220385674931,8.722116603,True,True,True,True,True,True,True,0.6991735537190082,0.3151515151515151,0.3840220385674931,0.0,0.0,697,3,157,137,1,3,0.0,0.0,-0.013442963669952257,8.722116603,0.3840220385674931,1,0,0,0.6848739495798319,0.2542016806722689,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P03_fallback_level,3,3563,478,3,0.014005317352465319,6.7731557812857,0.0020677683792778186,0.4226775189447095,8.722116603,True,True,True,True,True,True,True,0.7712601740106652,0.34858265506595565,0.4226775189447095,0.0,0.0,1506,3,275,105,1,3,0.0,0.0,-0.033560609079216305,8.722116603,0.4226775189447095,1,0,0,0.7280334728033473,0.2489539748953975,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P04_component_id,player_scoring_distribution/prefix_mean,5378,1430,3,0.013819753702120522,7.192645430367219,0.0019213728573041807,0.4096318333953142,8.722116603,True,True,True,True,True,True,True,0.746931944960952,0.3373001115656378,0.4096318333953142,0.0,0.0,2203,3,275,171,1,3,0.0,0.0,-0.019579746092564725,8.722116603,0.4096318333953142,1,0,0,0.6993006993006993,0.25244755244755246,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P04_component_id,player_scoring_distribution/walk_forward_active_ewma,16239,12832,12550,5.990572900123413,7.598747426800141,0.7883632082565566,0.00831331978570109,0.0,False,False,True,True,False,False,True,0.010961266087813289,0.00831331978570109,0.00012316029312149762,0.00831331978570109,0.0,70,12552,11,66,1,3,0.0,0.0,-0.00987149214032008,0.0,0.00831331978570109,3,0,0,0.8964307980049875,0.4972724438902743,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P05_is_cold_start,False,18054,13784,12553,5.685412836308597,7.589528268403528,0.7491128084966648,0.038606403013182675,8.722116603,False,False,True,True,True,False,True,0.07028913260219342,0.007477567298105683,0.00011077877478675086,0.007477567298105683,0.0,697,12555,157,137,1,3,0.0,0.0,-0.008831871360858815,8.722116603,0.038606403013182675,1,0,0,0.8818195008705746,0.4804846198491004,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P05_is_cold_start,True,3563,478,3,0.014005317352465319,6.7731557812857,0.0020677683792778186,0.4226775189447095,8.722116603,True,True,True,True,True,True,True,0.7712601740106652,0.34858265506595565,0.4226775189447095,0.0,0.0,1506,3,275,105,1,3,0.0,0.0,-0.033560609079216305,8.722116603,0.4226775189447095,1,0,0,0.7280334728033473,0.2489539748953975,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P06_n_prior_games_bin,0,3563,478,3,0.014005317352465319,6.7731557812857,0.0020677683792778186,0.4226775189447095,8.722116603,True,True,True,True,True,True,True,0.7712601740106652,0.34858265506595565,0.4226775189447095,0.0,0.0,1506,3,275,105,1,3,0.0,0.0,-0.033560609079216305,8.722116603,0.4226775189447095,1,0,0,0.7280334728033473,0.2489539748953975,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P06_n_prior_games_bin,1,891,472,3,0.013619595293419945,7.361547274804069,0.0018500995490492774,0.3950617283950617,8.722116603,True,True,True,True,True,True,True,0.7205387205387206,0.3254769921436588,0.3950617283950617,0.0,0.0,352,3,156,86,1,3,0.0,0.0,0.021081212144300848,8.722116603,0.3950617283950617,1,0,0,0.6800847457627118,0.2754237288135593,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P06_n_prior_games_bin,10-19,5030,3860,3766,5.785078829179863,7.48016011164442,0.7733897059468271,0.006759443339960238,16.653942474,False,False,False,True,False,False,True,0.011928429423459244,0.0045725646123260435,0.00019880715705765408,0.0045725646123260435,0.0,34,3766,1,34,1,3,0.0,0.0,-0.014929217893033723,16.653942474,0.006759443339960238,1,0,0,0.9025906735751296,0.5036269430051813,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P06_n_prior_games_bin,2,924,480,3,0.013280933976501654,7.416043365550234,0.0017908382302880821,0.37337662337662336,8.722116603,True,True,True,True,True,True,True,0.6948051948051948,0.3051948051948052,0.37337662337662336,0.0,0.0,345,3,156,101,1,3,0.0,0.0,-0.04903868037921477,8.722116603,0.37337662337662336,1,0,0,0.6895833333333333,0.23333333333333334,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P06_n_prior_games_bin,20+,6651,5912,5829,6.0735378630590535,7.796854038196513,0.7789728823067619,0.003458126597504135,5.240664829,False,False,False,True,False,False,True,0.005863779882724403,0.0004510599909788002,0.00015035333032626674,0.0,0.0,23,5829,1,23,1,3,0.0,0.0,-0.008206895481349811,5.240664829,0.003458126597504135,1,0,0,0.8873477672530447,0.476319350473613,True
cbs_v15_player_oof_v5,player_scoring_distribution,ALL,P06_n_prior_games_bin,3-4,1512,887,834,5.8883065554052365,7.1978979427879555,0.8180591892533174,0.04431216931216931,0.0,False,True,False,True,True,False,True,0.0701058201058201,0.04431216931216931,0.0013227513227513227,0.04431216931216931,0.0,39,836,1,39,1,3,0.0,0.0,0.02342094193945046,0.0,0.04431216931216931,3,0,0,0.9075535512965051,0.5377677564825254,True
