region,arm,target,definition,known,n_rows,row_share,n_scoreable,loss_champion_in_region,loss_baseline_in_region,loss_reference_in_region,champion_vs_baseline_pct,champion_vs_reference_pct,pooled_n,pooled_skill_before_pct,pooled_skill_after_pct,routing_gain_pct,pooled_loss_before,pooled_loss_after,pooled_loss_reduction_pct,routing_gain_worst_over_grid_pct,routing_gain_best_over_grid_pct,fragile,paired_mean_diff,paired_p,paired_n_blocks,k_picks
R1_is_fallback,cbs_v14_player_oof,e_minutes_given_active,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,2459,0.13808,1419,9.747085238540198,6.953727548608059,6.571072685345002,40.17065193316771,48.333243372553646,13879,0.8278615357800057,6.2623083876760415,5.434446851896036,5.211768333040191,4.926173220855328,5.479812108575944,0.7368194659368332,6.817482911718342,False,2.793357689932138,0.00024993751562109475,475,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 821}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 480, ""n_routed"": 867}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 944, ""n_routed"": 771}]"
R1_is_fallback,cbs_v15_player_oof_v5,e_minutes_given_active,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,5378,0.24879,1430,9.539166065734792,6.721533605773846,6.2376948559415,41.91948780172101,52.92774472044892,14262,0.8787696718162485,6.283769141283857,5.404999469467608,5.180968783408732,4.89845480095577,5.452918059604405,0.7252305011712923,6.637486873667708,False,2.8176324599609437,0.00024993751562109475,476,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 1361}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 484, ""n_routed"": 1814}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 955, ""n_routed"": 2203}]"
R7_fb_or_fit_ineligible,cbs_v15_player_oof_v5,e_minutes_given_active,is_fallback OR fit_eligible == False  (DISJOINT UNION),combined,5730,0.26507,1444,9.510294465964686,6.722118429549235,6.240784147381701,41.477639313213,52.38941519800353,14262,0.8787696718162485,6.279626439505792,5.400856767689543,5.180968783408732,4.898671335884968,5.44873863026889,0.6998323208768253,6.638700247044438,False,2.7881760364154506,0.00024993751562109475,476,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 1413}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 489, ""n_routed"": 1947}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 963, ""n_routed"": 2370}]"
R3_fallback_level_2,cbs_v14_player_oof,e_minutes_given_active,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1409,0.07912,939,9.828946477180843,6.012869951533895,5.197633416163768,63.46514320791954,89.10426515680132,13879,0.8278615357800057,5.740661340105446,4.912799804325441,5.211768333040191,4.953587206332037,4.953810495977063,0.7067136872189073,6.003202723823097,False,3.8160765256469498,0.00024993751562109475,467,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 511}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 316, ""n_routed"": 432}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 622, ""n_routed"": 466}]"
R3_fallback_level_2,cbs_v15_player_oof_v5,e_minutes_given_active,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1815,0.08396,952,9.68825481475854,5.845895868832827,5.147849556489263,65.72746131882208,88.2000378691282,14262,0.8787696718162485,5.785703011000221,4.906933339183972,5.180968783408732,4.924488225526157,4.950436271762815,0.684880211753014,5.786918534132335,False,3.842358945925714,0.00024993751562109475,470,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 546}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 319, ""n_routed"": 572}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 635, ""n_routed"": 697}]"
R1_is_fallback,cbs_v15_player_oof_v5,attempts_usage,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,5378,0.24879,1430,4.52298285071431,3.3429959792024504,3.202632182581222,35.297286591214316,41.227046780905276,14262,-2.451696318506613,2.05471643762426,4.506412756130873,2.6898060537942152,2.5714929682338474,4.398573101338532,0.6778852929043788,5.7776039445778355,False,1.1799868715118604,0.00024993751562109475,476,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 1361}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 484, ""n_routed"": 1814}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 955, ""n_routed"": 2203}]"
R1_is_fallback,cbs_v14_player_oof,attempts_usage,is_fallback == True  (equivalently n_prior_appearances < 3),KNOWN D092/D094,2459,0.13808,1419,4.418102985804823,3.260357877260064,3.2206895904391932,35.50975543573467,37.17878925433305,13879,-2.1334435786053207,2.366782758768271,4.500226337373592,2.6864007032547677,2.5680319224330224,4.406222075445898,0.69310701208527,5.512966674276898,False,1.1577451085447588,0.00024993751562109475,475,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 821}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 480, ""n_routed"": 867}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 944, ""n_routed"": 771}]"
R7_fb_or_fit_ineligible,cbs_v15_player_oof_v5,attempts_usage,is_fallback OR fit_eligible == False  (DISJOINT UNION),combined,5730,0.26507,1444,4.501869851671261,3.3355676857843473,3.1954625523632627,34.96562731607893,40.88319853230076,14262,-2.451696318506613,2.0460611159272113,4.497757434433824,2.6898060537942152,2.571720208362951,4.3901249037897605,0.6402661125090692,5.774065134363127,False,1.1663021658869124,0.00024993751562109475,476,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 1413}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 489, ""n_routed"": 1947}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 963, ""n_routed"": 2370}]"
R3_fallback_level_2,cbs_v15_player_oof_v5,attempts_usage,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1815,0.08396,952,4.48629659396153,2.9284627658606874,2.6925770308123247,53.19629965119221,66.61720510213433,14262,-2.451696318506613,1.509039111990429,3.960735430497042,2.6898060537942152,2.5858193896270576,3.865953979115888,0.6522043372927611,4.7052379739184635,False,1.5578338281008426,0.00024993751562109475,470,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 546}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 319, ""n_routed"": 572}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 635, ""n_routed"": 697}]"
R3_fallback_level_2,cbs_v14_player_oof,attempts_usage,fallback_level == 2  (1 or 2 prior appearances),NEW SUB-STRUCTURE of R1,1409,0.07912,939,4.409654087250531,2.8729049363919987,2.7350017749378774,53.49112431086886,61.23039215763184,13879,-2.1334435786053207,1.8193813598840203,3.952824938489341,2.6864007032547677,2.5824301396222187,3.8702552268759183,0.6296895750798948,4.6205476889675134,False,1.5367491508585323,0.00024993751562109475,467,"[{""season"": 2022, ""k"": 5.0, ""form"": ""B1"", ""how"": ""UNTUNED_PREREG_DEFAULT(no earlier exploration season)"", ""n_tune_rows"": 0, ""n_routed"": 511}, {""season"": 2023, ""k"": 0.5, ""form"": ""B1"", ""how"": ""walk_forward(seasons<2023)"", ""n_tune_rows"": 316, ""n_routed"": 432}, {""season"": 2024, ""k"": 0.5, ""form"": ""B2"", ""how"": ""walk_forward(seasons<2024)"", ""n_tune_rows"": 622, ""n_routed"": 466}]"
