SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,team_min,team_fgm,team_fga,team_fg_pct,team_fg3m,team_fg3a,team_fg3_pct,team_ftm,team_fta,team_ft_pct,team_oreb,team_dreb,team_reb,team_ast,team_stl,team_blk,team_tov,team_pf,team_pts,team_plus_minus,team_video_available,year,season_type
22021,1611661322,WAS,Washington Mystics,1022100010,2021-05-18,WAS vs. PHO,L,200,23,75,0.307,5,28,0.179,19,21,0.905,15,19,34,17,10,4,12,22,70,-21,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100012,2021-05-19,ATL vs. CHI,L,200,30,77,0.39,5,15,0.333,12,24,0.5,12,23,35,16,17,7,19,28,77,-8,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100012,2021-05-19,CHI @ ATL,W,200,28,70,0.4,1,13,0.077,28,36,0.778,14,33,47,18,8,6,24,21,85,8,1,2021,regular
22021,1611661323,CON,Connecticut Sun,1022100013,2021-05-19,CON vs. IND,W,200,37,67,0.552,10,21,0.476,4,7,0.571,12,26,38,29,8,3,15,19,88,21,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100013,2021-05-19,IND @ CON,L,200,24,66,0.364,4,15,0.267,15,16,0.938,12,19,31,14,7,4,13,13,67,-21,1,2021,regular
22021,1611661324,MIN,Minnesota Lynx,1022100014,2021-05-20,MIN vs. SEA,L,200,30,68,0.441,5,17,0.294,13,21,0.619,6,25,31,22,6,1,17,16,78,-12,1,2021,regular
22021,1611661328,SEA,Seattle Storm,1022100014,2021-05-20,SEA @ MIN,W,200,31,63,0.492,12,25,0.48,16,20,0.8,5,30,35,23,12,6,17,17,90,12,1,2021,regular
22021,1611661330,ATL,Atlanta Dream,1022100015,2021-05-21,ATL @ IND,W,200,30,75,0.4,11,22,0.5,12,16,0.75,11,17,28,20,7,6,5,19,83,4,1,2021,regular
22021,1611661323,CON,Connecticut Sun,1022100017,2021-05-21,CON @ PHO,W,200,34,76,0.447,10,26,0.385,6,8,0.75,17,31,48,19,6,3,13,17,84,17,1,2021,regular
22021,1611661325,IND,Indiana Fever,1022100015,2021-05-21,IND vs. ATL,L,200,31,67,0.463,6,18,0.333,11,13,0.846,6,28,34,20,0,4,17,16,79,-4,1,2021,regular
22021,1611661319,LVA,Las Vegas Aces,1022100018,2021-05-21,LVA vs. LAS,W,200,33,62,0.532,4,14,0.286,27,32,0.844,4,40,44,18,7,12,15,15,97,28,1,2021,regular
22021,1611661320,LAS,Los Angeles Sparks,1022100018,2021-05-21,LAS @ LVA,L,200,27,74,0.365,5,17,0.294,10,15,0.667,5,23,28,18,8,1,13,24,69,-28,1,2021,regular
22021,1611661313,NYL,New York Liberty,1022100016,2021-05-21,NYL @ WAS,L,200,28,65,0.431,11,27,0.407,5,7,0.714,3,25,28,18,6,5,16,12,72,-29,1,2021,regular
22021,1611661317,PHO,Phoenix Mercury,1022100017,2021-05-21,PHO vs. CON,L,200,26,68,0.382,5,20,0.25,10,14,0.714,7,17,24,14,4,6,6,12,67,-17,1,2021,regular
22021,1611661322,WAS,Washington Mystics,1022100016,2021-05-21,WAS vs. NYL,W,200,35,74,0.473,16,31,0.516,15,17,0.882,11,31,42,21,4,3,12,15,101,29,1,2021,regular
22021,1611661321,DAL,Dallas Wings,1022100019,2021-05-22,DAL vs. SEA,L,225,37,82,0.451,10,31,0.323,13,16,0.813,13,33,46,21,5,4,17,24,97,-3,1,2021,regular
22021,1611661328,SEA,Seattle Storm,1022100019,2021-05-22,SEA @ DAL,W,225,35,80,0.438,7,25,0.28,23,27,0.852,11,28,39,26,9,8,11,15,100,3,1,2021,regular
22021,1611661329,CHI,Chicago Sky,1022100020,2021-05-23,CHI vs. NYL,L,200,33,81,0.407,6,12,0.5,13,15,0.867,10,25,35,22,8,5,12,15,85,-8,1,2021,regular
